番号,項目,回答数（人）,回答数（％）
1,200万未満,713,23.9
2,200～400万未満,636,21.3
3,400～600万未満,540,18.1
4,600～800万未満,311,10.4
5,800～1000万未満,176,5.9
6,1000～1200万未満,102,3.4
7,1200～1500万未満,73,2.4
8,1500～2000万未満,35,1.2
9,2000万円以上,30,1.0
10,わからない,184,6.2
11,無回答,180,6.0
全体,,2980,100
