番号,項目,回答数（人）,満足している_回答数（人）,満足している_回答数（%）,普通__回答数（人）,普通__回答数（）,不満である__回答数（人）,不満である__回答数（%）
1,"50代以下(n=1,148)",1148,720,62.7,330,28.7,98,8.5
2,60代以上(n=397),397,214,53.9,135,34,48,12.1
全体,,1545,,,,,,
