区分,収益金配分額Ａ（千円）,Ａ／歳入総額×100（%）,Ａ／税収入×100（%）,Ａ／標準財政規模×100（%）
区計 ,"690000 ",0.0 ,0.1 ,0.0 
千代田区,"30000 ",0.0 ,0.2 ,0.1 
中央区,"30000 ",0.0 ,0.1 ,0.1 
港区,"30000 ",0.0 ,0.0 ,0.0 
新宿区,"30000 ",0.0 ,0.1 ,0.0 
文京区,"30000 ",0.0 ,0.1 ,0.1 
台東区,"30000 ",0.0 ,0.2 ,0.1 
墨田区,"30000 ",0.0 ,0.1 ,0.0 
江東区,"30000 ",0.0 ,0.1 ,0.0 
品川区,"30000 ",0.0 ,0.1 ,0.0 
目黒区,"30000 ",0.0 ,0.1 ,0.0 
大田区,"30000 ",0.0 ,0.0 ,0.0 
世田谷区,"30000 ",0.0 ,0.0 ,0.0 
渋谷区,"30000 ",0.0 ,0.1 ,0.1 
中野区,"30000 ",0.0 ,0.1 ,0.0 
杉並区,"30000 ",0.0 ,0.0 ,0.0 
豊島区,"30000 ",0.0 ,0.1 ,0.0 
北区,"30000 ",0.0 ,0.1 ,0.0 
荒川区,"30000 ",0.0 ,0.2 ,0.1 
板橋区,"30000 ",0.0 ,0.1 ,0.0 
練馬区,"30000 ",0.0 ,0.0 ,0.0 
足立区,"30000 ",0.0 ,0.1 ,0.0 
葛飾区,"30000 ",0.0 ,0.1 ,0.0 
江戸川区,"30000 ",0.0 ,0.1 ,0.0 
