区分,歳出総額,1人件費,内訳・(1)議員報酬手当,内訳・(2)委員等報酬,内訳・(3)区長等特別職の給与,内訳・(4)職員給,内訳・①基本給,内訳・（ア）給料,内訳・（イ）扶養手当,内訳・（ウ）地域手当,内訳・②その他の手当,内訳・（ア）住居手当,内訳・（イ）通勤手当,内訳・（ウ）単身赴任手当,内訳・（エ）特殊勤務手当,内訳・（オ）時間外勤務手当,内訳・（カ）宿日直手当,内訳・（キ）管理職特勤手当,内訳・（ク）休日勤務手当,内訳・（ケ）管理職手当,内訳・（コ）期末勤勉手当,内訳・（サ）寒冷地手当,内訳（シ）・夜間勤務手当,内訳・（ス）特殊勤務手当,内訳・（セ）)義務教育等教員特別勤務手当,内訳・（ソ）初任給調整手当,内訳・（タ）農林漁業普及指導手当,内訳・（チ）その他,内訳・③臨時職員給与,内訳・(5)地方公務員共済組合等負担金,内訳・(6)退職金,内訳・(7)災害補償費,内訳・①地方公務員災害補償基金負担金,内訳・②その他,内訳・(8)職員互助会補助金,内訳・(9)その他,2物件費,内訳・(1)賃金,内訳・(2)旅費,内訳・(3)交際費,内訳・(4)需用費,内訳・(5)役務費,内訳・(6)備品購入費,内訳・(7)委託料,内訳・(8)その他,3維持補修費,4扶助費,5補助費等,内訳・(1)国に対するもの,内訳・(2)都道府県に対するもの,内訳・(3)同級他団体に対するもの,内訳(4)一部事務組合に対するもの,内訳・(5)その他,6普通建設事業費,内訳・(1)補助事業費,内訳・(2)単独事業費,内訳・(3)国直轄事業負担金,内訳・(4)都営事業負担金,内訳・(5)同級他団体施行事業負担金,内訳・(6)受託事業費,7災害復旧事業費,8失業対策事業費,9公債費,内訳・(1)地方債元利償還金,内訳・（ア）元金,内訳・（イ）利子,内訳・(2)一時借入金利子,10積立金,11投資及び出資金,12貸付金,13繰出金,区分
区計,3442340455 ,597114557 ,9482335 ,45751593 ,1643169 ,395711294 ,268442447 ,223179122 ,3932906 ,41330419 ,127237649 ,3449166 ,7355850 ,10386 ,784045 ,15019342 ,85484 ,25007 ,1641955 ,2794395 ,95892652 ,267 ,14035 ,0 ,27967 ,137077 ,0 ,21 ,31198 ,79333139 ,53093915 ,573843 ,547157 ,26686 ,636940 ,10888329 ,545852807 ,9582157 ,1093804 ,162547 ,76921447 ,53723889 ,5631897 ,347944804 ,50792262 ,29338737 ,981427756 ,216087343 ,9304172 ,2552506 ,1261502 ,41561292 ,161407871 ,444796613 ,130574803 ,301677085 ,0 ,3174196 ,31688 ,9338841 ,121942 ,0 ,98515203 ,98513027 ,89717150 ,8795877 ,2176 ,195676779 ,0 ,23626397 ,309782321 ,計
千代田区,76723669 ,11018321 ,276248 ,964475 ,52033 ,7149040 ,4764712 ,3957223 ,70420 ,737069 ,2384328 ,55579 ,177518 ,220 ,15113 ,286946 ,4649 ,5939 ,28999 ,92730 ,1706094 ,0 ,600 ,0 ,4444 ,5497 ,0 ,0 ,0 ,1418681 ,963637 ,8609 ,8609 ,0 ,18077 ,167521 ,9779302 ,147288 ,19750 ,7050 ,1311111 ,982237 ,21347 ,6528447 ,762072 ,715803 ,4544724 ,4537180 ,64531 ,44821 ,23201 ,639607 ,3765020 ,8354217 ,1772311 ,6565473 ,0 ,0 ,0 ,16433 ,0 ,0 ,676851 ,676586 ,625586 ,51000 ,265 ,34195469 ,0 ,1002128 ,1899674 ,千
中央区,79330014 ,14958199 ,309980 ,1561262 ,77762 ,9637968 ,6367044 ,5299928 ,87623 ,979493 ,3270924 ,82591 ,219816 ,276 ,16401 ,507304 ,4251 ,6406 ,40500 ,95021 ,2290032 ,0 ,161 ,0 ,2557 ,5608 ,0 ,0 ,0 ,1894547 ,1178438 ,12702 ,12241 ,461 ,25745 ,259795 ,15350613 ,63609 ,39486 ,6708 ,2484697 ,621899 ,119163 ,10379825 ,1635226 ,746785 ,10053303 ,8616474 ,5058 ,24240 ,126603 ,978174 ,7482399 ,19996098 ,9773193 ,9890727 ,0 ,0 ,0 ,332178 ,0 ,0 ,609448 ,609448 ,481888 ,127560 ,0 ,2180884 ,0 ,1544408 ,5273802 ,中
港区,149211903 ,18978249 ,354156 ,985678 ,69941 ,13237507 ,8755879 ,7274921 ,131715 ,1349243 ,4481628 ,109776 ,342325 ,0 ,22813 ,661968 ,4239 ,304 ,45642 ,120378 ,3169611 ,0 ,0 ,0 ,0 ,4572 ,0 ,0 ,0 ,2632422 ,1553770 ,18884 ,18017 ,867 ,0 ,125891 ,30276727 ,390097 ,45617 ,5224 ,3742409 ,1735103 ,580328 ,22584515 ,1193434 ,881837 ,19101520 ,9334884 ,238500 ,103810 ,57176 ,1431003 ,7504395 ,45363885 ,6624711 ,38713282 ,0 ,0 ,0 ,25892 ,0 ,0 ,1183511 ,1183511 ,1081109 ,102402 ,0 ,16174788 ,0 ,512544 ,7403958 ,港
新宿区,134995930 ,26398935 ,370453 ,2243032 ,66895 ,17349880 ,11633672 ,9703024 ,139565 ,1791083 ,5716208 ,154587 ,384411 ,405 ,39515 ,754123 ,5347 ,2479 ,76437 ,129103 ,4159139 ,0 ,1144 ,0 ,1775 ,7743 ,0 ,0 ,0 ,3368163 ,2198383 ,29972 ,22807 ,7165 ,27293 ,744864 ,24234215 ,198929 ,49230 ,1957 ,2919232 ,2878636 ,127411 ,15277327 ,2781493 ,1169038 ,42660751 ,6810157 ,164971 ,86708 ,205525 ,1795601 ,4557352 ,12574309 ,6410949 ,5818948 ,0 ,0 ,0 ,344412 ,0 ,0 ,4292155 ,4292155 ,3947804 ,344351 ,0 ,3818114 ,0 ,1156052 ,11882204 ,新
文京区,77412279 ,18793049 ,334697 ,2604242 ,52580 ,11264795 ,7598229 ,6326404 ,94375 ,1177450 ,3666566 ,105165 ,249976 ,1068 ,18624 ,396575 ,2220 ,501 ,43079 ,122119 ,2722482 ,0 ,0 ,0 ,2375 ,2382 ,0 ,0 ,0 ,2226539 ,1607161 ,15168 ,13994 ,1174 ,28561 ,659306 ,14032313 ,87455 ,29563 ,6283 ,2208421 ,1532537 ,133457 ,8500794 ,1533803 ,426893 ,15433035 ,4300441 ,227188 ,67818 ,8519 ,1079146 ,2917770 ,11660384 ,1251614 ,10083391 ,0 ,0 ,0 ,325379 ,0 ,0 ,1621586 ,1621586 ,1454116 ,167470 ,0 ,3982953 ,0 ,20065 ,7141560 ,文
台東区,92370499 ,16043577 ,342473 ,1275391 ,51982 ,10534713 ,7016902 ,5832406 ,97092 ,1087404 ,3517811 ,92245 ,238644 ,324 ,29893 ,435382 ,4301 ,0 ,47613 ,111563 ,2551357 ,0 ,300 ,0 ,2068 ,4121 ,0 ,0 ,0 ,2060190 ,1380984 ,14663 ,14603 ,60 ,9798 ,373383 ,13182696 ,107659 ,46066 ,6879 ,1900594 ,938783 ,198110 ,8552600 ,1432005 ,908058 ,32883444 ,5692204 ,349534 ,116671 ,65505 ,1155738 ,4004756 ,8197103 ,1177421 ,6530931 ,0 ,392430 ,0 ,96321 ,0 ,0 ,3505112 ,3505112 ,3208804 ,296308 ,0 ,1766149 ,0 ,2065003 ,8127153 ,台
墨田区,106572629 ,18281331 ,343628 ,1205104 ,53232 ,12370415 ,8501706 ,7071143 ,119920 ,1310643 ,3868709 ,139452 ,249642 ,0 ,28781 ,270142 ,4277 ,0 ,50404 ,94648 ,3024314 ,0 ,695 ,0 ,938 ,5416 ,0 ,0 ,0 ,2635137 ,1310129 ,16927 ,16893 ,34 ,41697 ,305062 ,18422779 ,517921 ,24622 ,5812 ,2452916 ,1745407 ,123802 ,11313094 ,2239205 ,782409 ,33279046 ,6603026 ,499481 ,137882 ,11395 ,1220829 ,4733439 ,11627401 ,3798523 ,7391886 ,0 ,398309 ,0 ,38683 ,0 ,0 ,2964287 ,2964287 ,2571141 ,393146 ,0 ,3975582 ,0 ,91058 ,10545710 ,墨
江東区,172601639 ,26297261 ,474062 ,1256887 ,85625 ,17919462 ,12261277 ,10209470 ,161112 ,1890695 ,5658185 ,152468 ,371408 ,228 ,33473 ,494009 ,4307 ,3018 ,93267 ,133311 ,4364675 ,0 ,0 ,0 ,0 ,8021 ,0 ,0 ,0 ,3528415 ,2457995 ,23483 ,22666 ,817 ,51323 ,500009 ,29293073 ,1218547 ,52674 ,8725 ,4013299 ,2870753 ,379035 ,18240416 ,2509624 ,2104618 ,51753171 ,11185420 ,621153 ,178142 ,21126 ,1930262 ,8434737 ,19032369 ,6960507 ,11887639 ,0 ,0 ,0 ,184223 ,75240 ,0 ,2933087 ,2933087 ,2490051 ,443036 ,0 ,15286336 ,0 ,881266 ,13759798 ,江
品川区,139771086 ,24393154 ,407513 ,1748272 ,83137 ,16197259 ,10745502 ,8961268 ,130226 ,1654008 ,5451757 ,150880 ,280133 ,648 ,43019 ,937753 ,0 ,0 ,91569 ,98117 ,3842502 ,0 ,0 ,0 ,2280 ,4856 ,0 ,0 ,0 ,3197242 ,2277389 ,21101 ,21022 ,79 ,30969 ,430272 ,24140302 ,109179 ,85279 ,9096 ,4124573 ,3533076 ,220822 ,14151904 ,1906373 ,926717 ,30275769 ,7908280 ,346842 ,47343 ,16508 ,1725757 ,5771830 ,31229106 ,18450165 ,9976862 ,0 ,0 ,0 ,2802079 ,6852 ,0 ,2970221 ,2970221 ,2634411 ,335810 ,0 ,4479655 ,0 ,241995 ,13199035 ,品
