,都心南部、大被害、被害率,都心南部、中小被害、被害率,多摩東部、大被害、被害率,多摩東部、中小被害、被害率,大正関東、大被害、被害率,大正関東、中小被害、被害率,立川断層、大被害、被害率,立川断層、中小被害、被害率
区部,0,0.024,0,0.018,0,0.011,0,0
多摩,0,0.003,0,0.015,0,0.008,0,0.006
東京都,0,0.019,0,0.018,0,0.01,0,0.001
