公社名,設立年月日,設立団体名,理事長名,事務所所在地
中央区土地開発公社,S63.5.2,中央区,齊藤  進（副区長）,中央区築地1-1-1区役所内
新宿区土地開発公社,S62.4.10,新宿区,野口　則行（副区長）,新宿区歌舞伎町1-4-1区役所内
台東区土地開発公社,S62.10.3,台東区,荒川　聡一郎（副区長）,台東区東上野4-5-6区役所内
墨田区土地開発公社,S57.10.28,墨田区,高野　祐次（副区長）,墨田区吾妻橋1-23-20区役所内
江東区土地開発公社,H元.4.28,江東区,大井　哲爾（副区長）,江東区東陽4-11-28区役所内
品川区土地開発公社,S63.11.4,品川区,桑村正敏（副区長）,品川区広町2-1-36区役所内
目黒区土地開発公社,S52.9.1,目黒区,鈴木  勝（副区長）,目黒区上目黒2-19-15区役所内
大田区土地開発公社,S63.10.14,大田区,遠藤　久（副区長）,大田区蒲田5-13-14区役所内
世田谷区土地開発公社,S49.8.19,世田谷区,板垣　正幸（副区長）,世田谷区世田谷4-21-27区役所内
渋谷区土地開発公社,S50.10.31,渋谷区,千葉　博康（副区長）,渋谷区宇田川町1-1区役所内
中野区土地開発公社,S63.10.13,中野区,川崎　亨（副区長）,中野区中野4-8-1区役所内
杉並区土地開発公社,S63.4.8,杉並区,宇賀神　雅彦（副区長）,杉並区阿佐谷南1-15-1区役所内
豊島区土地開発公社,S62.4.1,豊島区,水島　正彦（副区長）,豊島区南池袋2-45-1区役所内
北区土地開発公社,H元.4.15,北区,山田　統二（副区長）,北区王子本町1-15-22区役所内
荒川区土地開発公社,S63.4.11,荒川区,北川　嘉昭（副区長）,荒川区荒川2-2-3区役所内
板橋区土地開発公社,S63.4.1,板橋区,橋本　正彦（副区長）,板橋区板橋2-66-1区役所内
練馬区土地開発公社,S59.4.13,練馬区,黒田　叔孝（副区長）,練馬区豊玉北6-12-1区役所内
足立区土地開発公社,S57.1.9,足立区,石川　義夫（副区長）,足立区中央本町1-17-1区役所内
葛飾区土地開発公社,S63.4.8,葛飾区,久野　清福（副区長）,葛飾区立石5-13-1区役所内
立川市土地開発公社,S49.5.31,立川市,大霜　俊夫（副市長）,立川市泉町1156-9市役所内
武蔵野市土地開発公社,S49.5.1,武蔵野市,堀井　建次（副市長）,武蔵野市緑町2-2-28市役所内
三鷹市土地開発公社,S48.11.1,三鷹市,津端　修（副市長）,三鷹市野崎1-1-1市役所内
青梅市土地開発公社,S48.4.1,青梅市,池田　央（副市長）,青梅市東青梅1-11-1市役所内
府中市土地開発公社,S50.11.1,府中市,吉野　誠（副市長）,府中市宮西町2-24市役所内
昭島市土地開発公社,S49.4.1,昭島市,早川　修（副市長）,昭島市田中町1-17-1市役所内
調布市土地開発公社,S48.4.23,調布市,木村　健治（副市長）,調布市小島町2-35-1市役所内
町田市土地開発公社,S49.8.31,町田市,髙橋　豊（副市長）,町田市森野2-2-22市役所内
小金井市土地開発公社,S48.9.17,小金井市,川上　秀一（副市長）,小金井市本町6-6-3市役所内
小平市土地開発公社,S48.8.27,小平市,教山　裕一郎（副市長）,小平市小川町2-1333市役所内
日野市土地開発公社,S49.4.1,日野市,荻原　弘次（副市長）,日野市神明1-12-1市役所内
東村山市土地開発公社,S49.8.30,東村山市,荒井　浩（副市長）,東村山市本町1-2-3市役所内
国分寺市土地開発公社,S48.6.1,国分寺市,橋本　正之（副市長）,国分寺市戸倉1-6-1市役所内
国立市土地開発公社,S61.5.26,国立市,永見　理夫（副市長）,国立市富士見台2-47-1市役所内
福生市土地開発公社,S48.11.9,福生市,福島　秀男（副市長）,福生市本町5市役所内
狛江市土地開発公社,S49.8.28,狛江市,水野　穰（副市長）,狛江市和泉本町1-1-5市役所内
東大和市土地開発公社,S48.2.17,東大和市,小島　昇公（副市長）,東大和市中央3-930市役所内
清瀬市土地開発公社,S48.8.31,清瀬市,中澤　弘行（副市長）,清瀬市中里5-842市役所内
東久留米市土地開発公社,S48.12.1,東久留米市,永田　昇（副市長）,東久留米市本町3-3-1市役所内
武蔵村山市土地開発公社,S48.4.1,武蔵村山市,山﨑　泰大（副市長）,武蔵村山市本町1-1-1市役所内
多摩市土地開発公社,S49.8.29,多摩市,永尾　俊文（副市長）,多摩市関戸6-12-1市役所内
稲城市土地開発公社,S48.3.20,稲城市,石田　光広（副市長）,稲城市東長沼2111市役所内
羽村市土地開発公社,H2.9.1,羽村市,北村　健（副市長）,羽村市緑ヶ丘5-2-1市役所内
西東京市土地開発公社,S49.8.28,西東京市,池澤　隆史（副市長）,西東京市中町1-5-1市役所内
瑞穂町土地開発公社,S62.12.28,瑞穂町,杉浦　裕之（副町長）,西多摩郡瑞穂町大字箱根ケ崎2335町役場内
日の出町土地開発公社,S56.9.26,日の出町,木﨑　孝二（副町長）,日の出町平井2780町役場内
