番号,項目,回答数（人）,それ以外_回答数（人）,それ以外_回答数（%）,実施店舗数が少なかったから_回答数（人）,実施店舗数が少なかったから_回答数（%）
1,"65歳未満(n=21,037)",21037,14575,69.3,6424,30.7
2,"65歳以上(n=3,723)",3723,2417,64.9,1306,35.1
全体,,24760,,,,
