,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計,6176529,6032910,5863919,5096682,4334770,3817962,3346666,2872047,2478490,2131992
定着外国人増加シナリオ,6176529,6300202,6469813,6031340,5570058,5303319,5055066,4793048,4593247,4418927
