,岩手県都内避難者人数,宮城県都内避難者人数,福島県都内避難者人数,その他都内避難者人数,総数都内避難者人数
千代田区,0,0,36,0,36
中央区,1,13,23,15,52
港区,2,6,27,3,38
新宿区,0,6,75,0,81
文京区,3,5,63,3,74
台東区,2,3,41,2,48
墨田区,2,4,36,0,42
江東区,14,16,447,5,482
品川区,2,5,31,2,40
目黒区,0,4,19,4,27
大田区,3,10,108,0,121
世田谷区,18,34,175,9,236
渋谷区,2,5,25,1,33
中野区,11,32,135,7,185
杉並区,0,2,3,0,5
豊島区,11,24,109,2,146
北区,0,1,4,0,5
荒川区,2,5,48,0,55
板橋区,10,37,172,2,221
練馬区,5,27,145,0,177
足立区,10,25,218,1,254
葛飾区,3,20,125,0,148
江戸川区,12,26,174,5,217
八王子市,5,25,131,2,163
立川市,0,4,44,1,49
武蔵野市,1,7,57,1,66
三鷹市,2,11,57,0,70
青梅市,0,0,28,0,28
府中市,7,10,80,0,97
昭島市,3,5,35,0,43
調布市,1,2,39,0,42
町田市,26,59,183,11,279
小金井市,1,3,20,0,24
小平市,6,10,47,3,66
日野市,7,6,67,4,84
東村山市,3,8,29,0,40
国分寺市,3,7,32,0,42
国立市,0,4,19,0,23
福生市,1,7,17,0,25
狛江市,0,7,15,0,22
東大和市,2,4,28,0,34
清瀬市,2,6,53,5,66
東久留米市,1,4,39,1,45
武蔵村山市,0,0,19,0,19
多摩市,3,5,26,0,34
稲城市,4,13,31,1,49
羽村市,2,2,21,0,25
あきる野市,1,2,11,4,18
西東京市,3,17,101,0,121
瑞穂町,1,0,12,0,13
日の出町,0,0,2,0,2
檜原村,0,0,0,0,0
奥多摩町,0,0,0,0,0
大島町,0,0,0,0,0
利島村,0,0,0,0,0
新島村,0,0,0,0,0
神津島村,0,0,0,0,0
三宅村,0,0,0,0,0
御蔵島村,0,0,0,0,0
八丈町,0,0,0,0,0
青ヶ島村,0,0,0,0,0
小笠原村,0,0,0,0,0
合計,198,538,3482,94,4312
