番号,項目,回答数（人）,知っていたが参加しなかった_回答数（人）,知っていたが参加しなかった_回答数（%）,それ以外_回答数（人）,それ以外_回答数（%）
1,"65歳未満(n=36,705)",35705,27070,75.8,8635,24.2
2,"65歳以上(n=5,629)",5629,3713,66,1912,34
全体,,41334,,,,
