番号,項目,回答数,そう思う_回答数（人）,そう思う_回答数（%）,そう思わない_回答数（人）,そう思わない_回答数（%）
1,"65歳未満(n=2,208)",2208,924,41.8,1284,58.2
2,65歳以上(n=772),772,576,74.6,196,25.4
全体,,2980,,,,
