区分,歳出総額,1議会費,2総務費,内訳・(1)総務管理費,内訳・(2)徴税費,内訳・(3)戸籍・住民基本台帳費,内訳・(4)選挙費,内訳・(5)統計調査費,内訳・(6)監査委員費,3民生費,内訳・(1)社会福祉費,内訳・(2)老人福祉費,内訳・(3)児童福祉費,内訳・(4)生活保護費,内訳・(5)災害救助費,4衛生費,内訳・(1)保健衛生費,内訳・(2)結核対策費,内訳・(3)保健所費,内訳・(4)清掃費,5労働費,内訳・(1)失業対策費,内訳・(2)労働諸費,6農林水産業費,7商工費,8土木費,内訳・(1)土木管理費,内訳・(2)道路橋りょう費,内訳・(3)河川費,内訳・(4)都市計画費・①街路費,内訳・(4)都市計画費・②公園費,内訳・(4)都市計画費・③下水道費,内訳・(4)都市計画費・④区画整理費等,内訳・(5)住宅費,内訳・(6)空港費,9消防費,10教育費,内訳・(1)教育総務費,内訳・(2)小学校費,内訳・(3)中学校費,内訳・(4)高等学校費,内訳・(5)特別支援学校費,内訳・(6)幼稚園費,内訳・(7)社会教育費,内訳・(8)保険体育費・①体育施設費等,内訳・(8)保健体育費・②学校給食費,11災害復旧費,12公債費,13諸支出金,区分
区計,3442340455,18467400,467469114,411148179,23189209,23129045,5800656,2221686,1980339,1727632459,375190267,257640967,632456852,461852808,491565,261671015,105716181,1864729,19897791,134192314,7288603,14040,7274563,1091574,41456134,327217900,39859542,73983622,6438847,18046119,62095859,3089832,95736367,27789868,177844,31730366,459513674,99273376,134010608,60065152,576048,696154,14688094,67234379,40267863,42702000,121942,98548272,132002,計
千代田区,76723669,574548,8265432,7426533,332106,289073,107975,55753,53992,31696123,2675501,13171581,14197625,1651416,0,11549964,8855950,23803,247483,2422728,108743,0,108743,0,1547482,7267819,1684775,1673184,51049,0,973436,0,643830,2241545,0,5139335,9897372,526347,2559176,3422106,576048,0,791179,1425655,288422,308439,0,676851,0,千
中央区,79330014,616700,10085578,8856140,444128,506788,126324,82367,69831,24420552,4633086,5264172,11963973,2556591,2730,6162080,2341313,42862,762773,3015132,183764,0,183764,63009,3669167,18499547,3729453,2701228,36398,0,929359,0,9496711,1606398,0,371243,14648923,1350593,7135729,1089361,0,0,2170331,1446146,813280,643483,0,609451,0,中
港区,149211903,728567,19942478,16966927,1138913,1455501,194478,101927,84732,54207646,9339658,11040725,28328720,5492843,5700,11521808,6610116,40780,430787,4440125,305122,0,305122,0,2546929,11528258,1014368,3358416,42089,96198,1179829,0,2956181,2881177,0,2770730,44476854,12806223,8364556,5907613,0,0,1032432,2770095,12521001,1074934,0,1183511,0,港
新宿区,134995930,751149,17879934,15436021,882043,1060641,303540,88383,109306,71006289,15491979,9405528,21695182,24364518,49082,13159307,4972961,149370,1555555,6481421,938226,0,938226,0,2003354,10975493,779761,3328090,8842,6811,1393763,62978,3452909,1942339,0,1193862,12795644,2555600,3324177,1337996,0,145791,949292,2521875,784604,1176309,0,4292672,0,新
文京区,77412279,643642,13417231,11903134,503834,685110,165886,89419,69848,37073989,9152327,6522355,15518504,5880299,504,6553345,3057709,63177,151918,3280541,127007,0,127007,0,602792,3933393,168838,1707633,68818,0,834502,220461,431334,501807,0,1138393,12300008,3145722,2211538,1771064,0,0,867390,2807809,507867,988618,0,1622479,0,文
台東区,92370499,672650,12190106,10256759,694759,842320,223177,104812,68279,49157917,9033460,7114842,10382552,22626465,598,7732932,2709683,72740,1075275,3875234,152346,0,152346,0,4054727,4910297,492402,1937472,456,114945,653623,0,883925,827474,0,1420026,8571177,999002,1633624,994014,0,0,853505,2504332,854408,732292,0,3508321,0,台
墨田区,106572629,652962,12147482,10081237,706210,1021116,173114,98395,67410,57289530,12224050,8179781,19359743,17521956,4000,7383430,2861960,40321,860281,3620868,334170,0,334170,0,1815617,8659629,716991,2731770,224994,463172,1081262,0,2865832,575608,0,685529,14639160,2143596,2517794,1666105,0,0,562122,5204919,1245365,1299259,0,2965120,0,墨
江東区,172601639,885854,26611443,24381902,939493,871567,242879,92579,83023,87876200,19139566,10966025,37731620,20038989,0,13406672,5638902,142506,1089107,6536157,166447,0,166447,0,987254,10083155,561058,2927526,460349,722491,1888119,146419,3089717,287476,0,1275038,28300577,5026319,9772429,2487532,0,0,2475255,3789543,1944520,2804979,75240,2933759,0,江
品川区,139771086,856563,14053431,11736849,947228,789245,384591,120670,74848,61174532,11488306,11214040,25922637,12495069,54480,11133891,4656179,93156,506571,5877985,415547,0,415547,0,1572765,26953191,457921,3179592,1940885,22627,3281446,771209,15993852,1305659,0,1670774,18963319,4095425,6820766,1848679,0,0,603792,2969162,671038,1954457,6852,2970221,0,品
目黒区,88913809,700278,15251491,13584084,660909,674971,152193,89146,90188,39191454,9081557,7785397,15739537,6583643,1320,7829317,2815660,27302,805468,4180887,177884,0,177884,5654,653658,5386992,589398,1509461,165204,129,1089244,0,523325,1510231,0,565530,11865200,2430737,3337282,1275744,0,0,295909,2276572,1082076,1166880,0,7286351,0,目
大田区,239607142,1027762,28398552,24455931,1833819,1539553,338927,112653,117669,129271089,29092739,17776173,46055507,36297414,49256,16701014,7004813,178356,667416,8850429,125784,0,125784,22699,3453587,27667519,4372639,6855519,236659,6297499,3613976,1248831,1679185,3185367,177844,1633680,24152313,5326142,8385008,2953361,0,97210,0,2444768,1898169,3047655,0,7153143,0,大
世田谷区,254881756,948737,33447898,29017775,2035896,1717633,453805,116981,105808,122192529,30937061,18959736,49329550,22887656,78526,20670295,7405700,52661,1130793,12081141,182457,0,182457,200837,1592345,31469019,4942453,7585964,846082,3286868,8224212,0,4905831,1677609,0,742084,31108157,6705519,8845936,4049604,0,0,670364,5561355,2321967,2953412,0,12327398,0,世
