番号,項目,回答数（人）,増加した_回答数（人）,増加した_回答数（％）,変わらない_回答数（人）,変わらない_回答数（％）,減少した_回答数（人）,減少した_回答数（％）
1,小売業(最寄り品)（n=349）,349,250,71.6,97,27.8,2,0.6
2,小売業(買回り品)（n=230）,230,171,74.3,56,24.3,3,1.3
3,宿泊業（n=7）,7,4,57.1,3,42.9,0,0
4,飲食業(居酒屋・BAR)（n=177）,177,120,67.8,55,31.1,2,1.1
5,飲食業(居酒屋・BAR以外)（n=261）,261,185,70.9,73,28,3,1.1
6,娯楽サービス業（n=53）,53,25,47.2,28,52.8,0,0
7,生活関連サービス業（n=364）,364,210,57.7,149,40.9,5,1.4
8,その他（n=104）,104,57,54.8,44,42.3,3,2.9
全体,,1545,,,,,,
