,2010年,2020年,2030年,2040年,2050年,2060年,2070年,2080年,2090年,2100年
ベース推計(%),27.4,34.4,37.9,41.1,41.3,40.8,41.6,43.0,43.9,44.5
出生率上昇シナリオ(%),27.4,33.7,34.6,35.3,34.1,31.8,30.2,30.2,31.9,33.2
