,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
単身世帯(20歳未満),54643,54085,52144,47224,40954,38012,36203,33962,32059,30235,28639,26992,25313,23712,22205,20792,19471,18216,17020
単身世帯(20～24),298934,229209,213706,198102,189871,183251,170838,157749,146432,137592,126058,118661,111410,103907,96998,90440,84000,78214,72808
単身世帯(25～29),401808,315943,260690,249643,235693,231140,227184,206016,189754,176652,166169,152272,142914,133659,124298,115884,108025,100298,93246
単身世帯(30～34),328119,275274,220283,183601,175917,168747,168316,161962,146545,134990,126105,118893,109195,102403,95612,88820,82808,77250,71767
単身世帯(35～39),293446,256542,213645,170953,143844,140981,138032,134714,129619,117169,107957,101078,95452,87878,82385,76852,71353,66533,62106
単身世帯(40～44),234137,271338,237998,198149,160624,143000,143286,137384,133917,128802,116330,107173,100468,94958,87546,82045,76477,70969,66175
単身世帯(45～49),193290,257714,309954,281682,244611,210447,192074,188657,180837,176143,169326,152796,140723,131992,124793,115145,107862,100477,93196
単身世帯(50～54),146038,204307,268344,318793,289213,260065,229146,205558,202101,193820,188783,181534,163830,150944,141703,134071,123791,115982,108037
単身世帯(55～59),158927,166289,235057,308857,371697,328572,302342,261613,235487,231850,222598,216936,208801,188582,173899,163434,154785,143029,134085
単身世帯(60～64),190821,169298,178179,246996,321576,359786,325950,294432,255449,230577,227434,218670,213356,205588,185855,171555,161411,153018,141515
単身世帯(65～69),156767,202266,179789,175950,247320,295622,321411,285783,258710,225079,203754,201328,193859,189370,182698,165350,152791,143914,136568
単身世帯(70～74),142445,167734,200211,164050,172680,214378,250770,272567,242857,220438,192589,174919,173204,167019,163328,157748,142960,132242,124681
単身世帯(75～79),136304,152601,169150,202012,163883,156054,172939,203192,220142,196699,179194,157415,143467,142436,137536,134645,130146,118104,109348
単身世帯(80～84),105636,137384,148434,170451,185564,151356,127601,159960,189036,205056,183993,168300,148606,135938,135383,131007,128496,124392,113074
単身世帯(85歳以上),81174,110015,142416,177537,200552,232589,210353,216648,245419,288407,333519,356025,366332,364754,358872,357895,357392,358227,358568
核家族世帯(20歳未満),511,592,660,645,588,549,488,456,428,402,381,358,335,314,293,274,256,239,223
核家族世帯(20～24),11805,11462,12290,12847,12992,12578,11026,10197,9476,8918,8189,7719,7253,6769,6326,5906,5492,5120,4771
核家族世帯(25～29),88647,73719,65798,65809,64384,63060,58300,53124,49075,45794,43212,39801,37451,35081,32678,30529,28528,26552,24739
核家族世帯(30～34),219176,196451,171331,156826,156831,150729,140912,136011,123669,114264,106988,101186,93405,87835,82161,76467,71448,66821,62238
核家族世帯(35～39),322474,278989,253595,221706,202202,198685,182757,178252,172021,156214,144352,135446,128286,118626,111511,104214,96940,90587,84765
核家族世帯(40～44),339898,361603,313592,281980,243627,219522,206636,198418,193269,186382,169038,156144,146671,139014,128713,120925,112909,104962,98069
核家族世帯(45～49),316469,357388,385733,336451,300476,261250,226139,222459,213552,207828,200327,181526,167636,157577,149417,138464,130036,121341,112751
核家族世帯(50～54),268704,323378,365791,393664,342721,308261,257030,233128,229552,220437,214508,206796,187358,173055,162800,154462,143249,134531,125512
核家族世帯(55～59),270169,258227,314400,357516,384842,338846,292009,255052,232117,228878,220005,214195,206661,187345,173164,163066,154849,143756,135064
核家族世帯(60～64),325427,251877,239034,284966,318379,354764,299700,270323,236785,216178,213552,205577,200381,193584,175670,162547,153256,145689,135377
核家族世帯(65～69),283657,298123,231331,216784,260054,304886,316856,280199,253315,222514,203732,201605,194374,189695,183499,166701,154413,145750,138692
核家族世帯(70～74),244751,261212,278552,217117,205084,251196,279914,305057,270524,245195,215886,198085,196373,189637,185338,179515,163252,151378,143040
核家族世帯(75～79),198390,212366,228949,242983,185511,176856,225503,263611,288723,257071,233829,206397,189844,188647,182559,178767,173433,157930,146638
核家族世帯(80～84),118462,153184,168102,181362,193405,159857,148476,198756,233868,258042,231109,211186,187145,172764,172264,167221,164213,159703,145724
核家族世帯(85歳以上),70320,91429,120842,143345,162901,192961,191993,198929,235683,283673,334245,356245,363699,358207,349425,346660,344751,344378,343735
その他世帯(20歳未満),1085,1093,1081,981,878,815,735,687,645,606,573,539,505,472,441,412,385,359,335
その他世帯(20～24),17085,13638,12912,11817,11360,10956,9713,8963,8315,7808,7146,6723,6311,5884,5491,5117,4750,4421,4113
その他世帯(25～29),30275,24637,21315,20235,19268,18871,17657,16009,14744,13724,12908,11824,11097,10378,9650,8996,8386,7785,7237
その他世帯(30～34),25532,23674,20562,17986,17769,17012,16154,15553,14083,12980,12130,11442,10511,9863,9212,8560,7984,7451,6925
その他世帯(35～39),24040,23888,23400,20659,19157,18720,17465,17042,16423,14879,13729,12868,12169,11224,10537,9839,9144,8535,7977
その他世帯(40～44),25936,30931,31077,29894,27393,24446,23339,22398,21825,21028,19039,17569,16490,15612,14427,13541,12636,11739,10960
その他世帯(45～49),29419,32793,37667,34248,32140,27715,24281,23877,22911,22303,21481,19442,17940,16852,15966,14780,13871,12937,12015
その他世帯(50～54),31921,36311,42188,47151,43301,38746,32735,29615,29154,27985,27240,26240,23750,21921,20608,19537,18106,16994,15848
その他世帯(55～59),38464,35942,43974,51112,59215,51945,45467,39593,35908,35390,34004,33117,31927,28908,26699,25125,23838,22100,20749
