番号,項目,回答数（人）,回答数（％）
1,たいへん換金しやすかった,275,19.8
2,換金しやすかった,324,23.3
3,普通,716,51.6
4,やや換金しにくかった,49,3.5
5,換金しにくかった,24,1.7
全体,,1388,100
