ランク,2007年・開催都市,2007年・開催件数,2008年・開催都市,2008年・開催件数,2009年・開催都市,2009年・開催件数,2010年・開催都市,2010年・開催件数,2011年・開催都市,2011年・開催件数
1,シンガポール,465,シンガポール,637,シンガポール,689,シンガポール,725,シンガポール,919
2,パリ,315,パリ,419,ブリュッセル,395,ブリュッセル,486,ブリュッセル,464
3,ウィーン,298,ブリュッセル,299,パリ,316,パリ,394,パリ,336
4,ブリュッセル,229,ウィーン,249,ウィーン,311,ウィーン,257,ウィーン,286
5,ジュネーヴ,170,バルセロナ,193,ジュネーヴ,183,ソウル,201,ソウル,232
6,バルセロナ,161,東京,150,ベルリン,171,バルセロナ,193,ブタペスト,168
7,ニューヨーク,128,ソウル,125,プラハ,170,東京,190,東京,153
8,東京,126,ブタペスト,116,ストックホルム,159,ジュネーブ,189,バルセロナ,150
9,ソウル,121,コペンハーゲン,104,ソウル,151,マドリッド,175,ベルリン,149
10,アムステルダム,120,ロンドン,103,バルセロナ,148,ベルリン,165,ジュネーブ,121
11,,,,,東京,134,,,,
