番号,項目,回答数（人）,還元率が低かったため_回答数（人）,還元率が低かったため_回答数（%）,それ以外_回答数（人）,それ以外_回答数（%）
1,"600～1,000万円未満(n=287)",287,80,27.9,207,72.1
2,"その他の年収
（600万円未満、1,000万円以上）
（n=649）",649,131,20.2,518,79.8
全体,,936,,,,
