,知事部局等,公営企業
2000年,35413,18039
2001年,34534,17723
2002年,33496,17371
2003年,32802,16897
2004年,31608,16432
2005年,29455,16181
2006年,27949,15676
2007年,27334,15076
2008年,26863,14476
2009年,25701,13726
2010年,25431,13546
2011年,25261,13346
2012年,25101,13188
