番号,項目,回答数（人）,回答数（％）,
1,知っていたが、参加しなかった,10547,25.5,
2,知らなかったし、知っていても参加しなかった,14213,34.4,
3,知らなかったが、知っていたら参加した,16570,40.1,
全体,,41330,100,
