,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
総人口,4127128,4131876,4105850,4038421,3943893,3809615,3760473,3701585,3622694,3522779,3409107,3291981,3174659,3057777,2941053,2823497,2705519,2587485,2469911
世帯数,1815666,1825261,1834803,1820630,1789283,1743372,1680117,1663440,1633460,1592014,1543134,1493795,1444759,1395015,1344559,1292891,1240728,1188284,1135411
