番号,項目,回答数（人）,回答数（％）
1,0～5人,1119,72.4
2,6～20人,289,18.7
3,21～50人,79,5.1
4,51～100人,29,1.9
5,101～300人,14,0.9
6,301人～,15,1
全体,,1545,100
