番号,項目,回答数（人）,回答数（％）
10,10点,203,13.1
9,9点,132,8.5
8,8点,424,27.4
7,7点,291,18.8
6,6点,150,9.7
5,5点,233,15.1
4,4点,43,2.8
3,3点,37,2.4
2,2点,9,0.6
1,1点,23,1.5
全体,,1545,100
