,地方創生シナリオ(1)・2050年時点,地方創生シナリオ(2)・2050年時点
区中央部,49.0,63.4
区南部,51.8,64.4
区西南部,49.0,65.2
区西部,44.3,62.1
区西北部,52.5,66.2
区東北部,55.1,63.9
区東部,60.2,68.8
北多摩西部,59.2,68.5
北多摩南部,57.5,69.4
北多摩北部,60.4,70.6
南多摩,62.1,71.1
西多摩,58.2,65.6
島しょ,53.6,51.4
