区市町村名,戸籍事務関係・本籍数（H27.3.31現在）,戸籍事務関係・本籍人口（H27.3.31現在）,住民基本台帳・転入届出件数,住民基本台帳・転出・転出届,住民基本台帳・転出・特例転出届,事務関係・転居届出件数,事務関係・世帯変更届出件数,事務関係・写しの交付・住民票,事務関係・写しの交付・広域交付住民票,印鑑登録事務関係・登録総数,印鑑登録事務関係・登録申請者数,印鑑登録事務関係・証明書発行件数,区 分
総計,5263325 ,12539061 ,782934 ,642536 ,24294 ,314111 ,110628 ,8840208 ,17925 ,9093048 ,594811 ,4520565 ,
区計,3957706 ,9266411 ,605108 ,475986 ,19607 ,235273 ,75283 ,6329340 ,15247 ,6686524 ,428422 ,3158800 ,
千代田区,83555 ,189069 ,6592 ,4551 ,219 ,1268 ,698 ,56494 ,1001 ,31127 ,4839 ,33131 ,千
中央区,101055 ,229997 ,14540 ,9656 ,360 ,4486 ,904 ,116300 ,873 ,78643 ,9021 ,53732 ,中
港区,163792 ,372565 ,23706 ,17130 ,917 ,8611 ,1465 ,238190 ,925 ,138142 ,18364 ,138896 ,港
新宿区,173042 ,388271 ,40303 ,30474 ,682 ,12863 ,1869 ,281628 ,2336 ,171192 ,18738 ,121111 ,新
文京区,125621 ,288691 ,17303 ,13318 ,647 ,4033 ,2474 ,156171 ,273 ,112869 ,10456 ,80134 ,文
台東区,136775 ,299645 ,16359 ,11652 ,842 ,5081 ,1207 ,139491 ,538 ,109475 ,10334 ,68941 ,台
墨田区,135154 ,304348 ,18193 ,13567 ,679 ,5923 ,3698 ,173702 ,316 ,147925 ,13132 ,84282 ,墨
江東区,173798 ,404565 ,36198 ,28160 ,1254 ,18052 ,8152 ,342727 ,1925 ,282338 ,21274 ,155188 ,江
品川区,162021 ,374274 ,26054 ,20425 ,1063 ,8872 ,1807 ,256643 ,1184 ,209301 ,18636 ,130706 ,品
目黒区,126656 ,297819 ,21428 ,17613 ,751 ,6019 ,2942 ,200194 ,364 ,148686 ,14817 ,115434 ,目
大田区,278713 ,659136 ,40244 ,32668 ,452 ,18339 ,4371 ,462374 ,496 ,402687 ,28035 ,232249 ,大
世田谷区,338655 ,820012 ,51809 ,45225 ,616 ,23311 ,3578 ,612490 ,552 ,491802 ,40360 ,357295 ,世
渋谷区,135782 ,310712 ,20482 ,15725 ,1117 ,5692 ,1688 ,186350 ,641 ,123034 ,14663 ,106871 ,渋
中野区,143632 ,330863 ,23560 ,18752 ,1543 ,6940 ,2381 ,228896 ,384 ,124126 ,14986 ,100300 ,中
杉並区,223118 ,531097 ,38328 ,31439 ,1296 ,13337 ,6419 ,369133 ,278 ,300442 ,26220 ,194896 ,杉
豊島区,140767 ,317498 ,28952 ,21374 ,1252 ,7342 ,1543 ,210940 ,1128 ,1756694 ,22767 ,91818 ,豊
北区,154251 ,351893 ,23126 ,17511 ,827 ,7301 ,4154 ,220041 ,194 ,192209 ,14437 ,95507 ,北
荒川区,93421 ,210700 ,14033 ,10330 ,682 ,4748 ,1447 ,135093 ,131 ,117600 ,9105 ,62917 ,荒
板橋区,197687 ,469283 ,31024 ,24560 ,1233 ,13997 ,5721 ,362632 ,290 ,311654 ,24381 ,161629 ,板
練馬区,226022 ,560046 ,35510 ,31175 ,111 ,14882 ,3383 ,459226 ,497 ,400780 ,28418 ,234476 ,練
足立区,244516 ,587187 ,26357 ,20733 ,258 ,16461 ,7050 ,428155 ,484 ,396601 ,24340 ,203751 ,足
葛飾区,173896 ,416370 ,18960 ,15403 ,863 ,9523 ,4765 ,267924 ,163 ,263580 ,16126 ,130989 ,葛
江戸川区,225777 ,552370 ,32047 ,24545 ,1943 ,18192 ,3567 ,424546 ,274 ,375617 ,24973 ,204547 ,江
市町村計,1305619 ,3272650 ,177826 ,166550 ,4687 ,78838 ,35345 ,2510868 ,2678 ,2406524 ,166389 ,1361765 ,
市計,1266486 ,3179381 ,174634 ,163604 ,4649 ,77396 ,34968 ,2463226 ,2618 ,2351587 ,163856 ,1332428 ,
八王子市,173467 ,436723 ,18936 ,18991 ,797 ,13393 ,4864 ,342948 ,390 ,334526 ,18987 ,190802 ,八
立川市,59925 ,146914 ,8509 ,7484 ,369 ,3457 ,1572 ,117264 ,363 ,104389 ,7780 ,37798 ,立
武蔵野市,54674 ,132726 ,9191 ,7752 ,63 ,2404 ,670 ,96429 ,126 ,77940 ,6706 ,51811 ,武
三鷹市,57806 ,142871 ,10554 ,9240 ,190 ,3257 ,1879 ,115937 ,101 ,101294 ,8469 ,63405 ,三
青梅市,48548 ,122584 ,3246 ,3212 ,70 ,2092 ,1111 ,74915 ,37 ,86584 ,5068 ,46551 ,青
府中市,78332 ,197239 ,12419 ,11762 ,335 ,5278 ,4730 ,156336 ,100 ,145190 ,10271 ,82482 ,府
昭島市,37132 ,91640 ,5068 ,4683 ,213 ,3307 ,1299 ,54988 ,43 ,66985 ,3583 ,35836 ,昭
調布市,65522 ,162739 ,11517 ,10888 ,468 ,4049 ,1554 ,147461 ,185 ,126142 ,9843 ,76461 ,調
町田市,126732 ,322094 ,13204 ,13076 ,203 ,6720 ,3388 ,246926 ,343 ,259171 ,20831 ,149655 ,町
小金井市,36096 ,90053 ,7003 ,6414 ,21 ,1864 ,402 ,72980 ,104 ,63089 ,5053 ,39323 ,金
小平市,53916 ,137421 ,8707 ,8456 ,69 ,2783 ,536 ,111947 ,44 ,105262 ,7680 ,56751 ,平
日野市,53796 ,137169 ,7668 ,6801 ,182 ,3152 ,1671 ,119952 ,61 ,105512 ,7343 ,59820 ,日
東村山市,46042 ,114995 ,6350 ,6692 ,21 ,4467 ,2841 ,64328 ,39 ,88868 ,5137 ,35888 ,東
国分寺市,35898 ,90518 ,8717 ,7904 ,250 ,3038 ,1878 ,75399 ,113 ,66590 ,4906 ,40308 ,分
国立市,24820 ,61987 ,3805 ,3517 ,123 ,1059 ,662 ,47145 ,45 ,41961 ,3116 ,28275 ,国
福生市,21103 ,50875 ,2836 ,2601 ,0 ,1377 ,595 ,40526 ,69 ,35232 ,1907 ,20317 ,福
