,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
0～4,335969,341564,323898,304612,281809,263999,234810,221971,210670,197769,184495,170980,157831,146760,136713,127072,117696,109231,101284
5～9,313320,334846,338648,319807,299981,278691,259968,232473,219997,208815,196155,183281,170227,157446,146559,136598,127025,117740,109365
10～14,314916,321525,340392,342546,321463,301189,278263,260002,233033,220510,209180,196457,183633,170684,157978,147086,137080,127466,118164
15～19,343992,345533,347773,362668,360907,336176,311166,287600,268691,241108,227563,215173,201595,188199,174850,161765,150447,140010,130017
20～24,528520,437529,431910,423986,428303,418850,378134,347123,320651,299055,268834,251821,235925,219448,203999,189131,174633,161823,149918
25～29,696854,577779,490483,482575,467643,465632,445971,400427,366679,339757,317473,286644,267633,249509,231239,214647,199024,183774,170037
30～34,760091,696283,584828,506543,498078,481577,471006,451182,404729,370913,345125,323528,293450,273881,254916,236024,219165,203472,188095
35～39,829651,758074,692244,585765,511801,504087,482071,471095,451523,404995,371478,346617,325647,296250,276523,257209,238079,221175,205541
40～44,739466,843384,765371,696643,590289,519107,506914,484849,473316,453612,406670,373073,348609,327884,298782,278831,259185,239810,222805
45～49,632214,751510,854197,771457,698890,593693,520070,508368,486252,474345,454549,407356,373718,349516,328956,300070,279987,260138,240621
50～54,511780,635284,750682,851893,765752,693433,586475,515659,504679,482994,471184,451683,404850,371563,347814,327595,299116,279138,259331
55～59,517629,506931,624759,736304,833728,749459,675288,572816,505236,495279,474536,463266,444476,398659,366163,343114,323457,295635,276016
60～64,616332,502882,490662,602762,708527,803666,719586,649993,553013,489221,480550,461138,450762,433025,388807,357500,335397,316517,289611
65～69,519639,586203,475109,464034,581850,694443,764189,686065,621262,529998,470057,462594,444610,435195,418601,376275,346349,325295,307287
70～74,443974,484932,547324,448601,446757,555171,651432,719073,647359,587744,502763,446938,440697,424245,415847,400506,360421,332116,312267
75～79,375104,401670,443042,499146,404359,394870,505202,595350,659555,595914,542847,465808,415262,410445,395911,388763,375021,337973,311848
80～84,254761,314246,339832,374101,423882,350134,341103,437594,518913,577929,524941,480338,414051,370587,367546,355556,350042,338454,305659
85～89,138082,167919,210156,245421,282684,332220,340523,351847,407833,487505,575947,621364,641801,634413,617013,610193,605811,605518,604674
90歳以上,73400,88717,110471,128803,148192,173711,177784,183517,211533,252184,297091,320524,331390,328161,319666,316462,314424,314436,314140

