番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),366,28
2,ほぼ変わらない（±5%未満）,433,33.2
3,少し減少した（5-20%未満）,319,24.4
4,かなり減少した（20%以上）,188,14.4
全体,,1306,100
