,都営住宅等東京都の応急仮設住宅入居人数,民間賃貸住宅東京都の応急仮設住宅入居人数,合計
千代田区,0,0,
中央区,0,0,
港区,8,0,
新宿区,22,0,
文京区,0,0,
台東区,0,1,
墨田区,0,0,
江東区,286,0,
品川区,0,0,
目黒区,0,0,
大田区,2,4,
世田谷区,0,1,
渋谷区,1,0,
中野区,34,1,
杉並区,2,1,
豊島区,0,2,
北区,1,2,
荒川区,9,1,
板橋区,9,4,
練馬区,17,12,
足立区,13,5,
葛飾区,3,4,
江戸川区,19,14,
八王子市,3,6,
立川市,10,0,
武蔵野市,4,0,
三鷹市,1,0,
青梅市,0,0,
府中市,0,6,
昭島市,0,0,
調布市,0,2,
町田市,1,1,
小金井市,0,0,
小平市,0,0,
日野市,0,4,
東村山市,0,0,
国分寺市,0,0,
国立市,0,4,
福生市,0,0,
狛江市,0,0,
東大和市,2,0,
清瀬市,2,0,
東久留米市,0,0,
武蔵村山市,0,0,
多摩市,0,0,
稲城市,0,0,
羽村市,0,0,
あきる野市,0,0,
西東京市,7,5,
瑞穂町,0,0,
日の出町,0,0,
檜原村,0,0,
奥多摩町,0,0,
大島町,0,0,
利島村,0,0,
新島村,0,0,
神津島村,0,0,
三宅村,0,0,
御蔵島村,0,0,
八丈町,0,0,
青ヶ島村,0,0,
小笠原村,0,0,
小計,456,80,
合計,,,536
