番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),360,28.7
2,ほぼ変わらない（±5%未満）,414,33
3,少し減少した（5-20%未満）,292,23.3
4,かなり減少した（20%以上）,189,15.1
全体,,1255,100
