,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
0～4,507480,507844,479868,449676,415169,388955,356228,339817,324175,305959,287387,268589,250063,234174,219653,205682,191943,179189,167115
5～9,491142,506671,504741,474775,443919,410907,387683,356381,339960,324052,305801,287485,269076,250844,235022,220449,206427,192696,179976
10～14,499711,499086,511647,507813,475250,443454,412627,389716,358741,342021,325711,307201,288818,270442,252213,236295,221582,207433,193621
15～19,554162,550942,542872,548752,538773,499176,465840,433226,408627,375961,357043,338517,318190,298537,279233,260140,243300,227675,212727
20～24,797276,687350,672767,649432,640265,618213,565229,522249,485028,456114,419066,394682,370662,345803,322956,301300,280019,260864,242956
25～29,963854,826243,723693,709214,680916,666335,642336,584125,538836,502237,473288,436031,409771,383543,356986,333195,311030,289194,269192
30～34,1054562,957622,827160,734986,720736,690723,674594,649970,589929,544324,509162,481012,444462,417454,390146,362805,338698,316477,294510
35～39,1181481,1051367,952149,826042,738693,724721,695774,678704,653815,592819,547119,512894,485297,449266,421854,393926,366139,341873,319651
40～44,1068867,1194201,1058019,955613,829167,744102,732175,702672,684563,659085,596947,550790,516887,489419,453512,425653,397156,368940,344459
45～49,918954,1075462,1200245,1060350,954487,828479,747436,735861,706043,687303,661485,598694,552305,518648,491295,455519,427413,398591,370139
50～54,750975,913924,1065451,1189043,1047647,942205,821003,742822,731977,702563,683880,658296,595760,549718,516592,489619,454259,426248,397454
55～59,771825,736555,892006,1038541,1158426,1020612,921018,804477,729775,720082,691787,673779,649012,587638,542554,510305,484014,449405,421842
60～64,919040,744033,708869,856708,996224,1112639,984670,890454,779814,709259,701043,674363,657496,633980,574520,530915,499865,474531,440996
65～69,782462,877915,712438,682141,841869,991629,1066015,945289,856567,752002,685582,678689,653680,637985,615777,558520,516571,486801,462504
70～74,664329,732981,824060,674154,656646,801567,937158,1010044,897589,815118,717413,655475,649952,626829,612458,591754,537239,497333,469098
75～79,552393,600008,668309,749827,607174,578228,734700,862092,932167,830880,756755,667965,611925,608057,587445,574844,556172,505566,468560
80～84,371624,463580,510262,568026,640344,524908,504360,641811,757153,822706,736670,673609,597064,549004,547213,530019,519824,503955,458947
85～89,200083,250188,319520,380159,443283,518276,535983,552887,633954,749275,869560,926103,949495,942495,925890,922685,920753,922116,922341
90歳以上,109168,135673,172536,205236,239501,279499,288914,297755,339008,398926,461220,490911,503614,500723,492721,491544,490913,491915,492259
