番号,項目,回答数（人）,回答数（％）
1,チェーン店のスーパー、コンビニ、小売店,2371,79.6
2,チェーン店のレストラン,1179,39.6
3,個人商店,1119,37.6
4,個人経営の飲食店,764,25.6
5,大規模小売店（大型家電量販店、百貨店など）,733,24.6
6,その他,46,1.5
全体,,2980,
