区市町村コード,区市町村,都心南部、冬夕、風速8m/s,都心南部、冬昼、風速8m/s,都心南部、冬早朝、風速8m/s,都心南部、冬夕、風速4m/s,都心南部、冬昼、風速4m/s,都心南部、冬早朝、風速4m/s,多摩東部、冬夕、風速8m/s,多摩東部、冬昼、風速8m/s,多摩東部、冬早朝、風速8m/s,多摩東部、冬夕、風速4m/s,多摩東部、冬昼、風速4m/s,多摩東部、冬早朝、風速4m/s,大正関東、冬夕、風速8m/s,大正関東、冬昼、風速8m/s,大正関東、冬早朝、風速8m/s,大正関東、冬夕、風速4m/s,大正関東、冬昼、風速4m/s,大正関東、冬早朝、風速4m/s,立川断層、冬夕、風速8m/s,立川断層、冬昼、風速8m/s,立川断層、冬早朝、風速8m/s,立川断層、冬夕、風速4m/s,立川断層、冬昼、風速4m/s,立川断層、冬早朝、風速4m/s
13101,千代田区,0.057,0.057,0.057,0.057,0.057,0.057,0.039,0.039,0.039,0.039,0.039,0.039,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0
13102,中央区,0.222,0.221,0.22,0.222,0.221,0.22,0.083,0.083,0.083,0.083,0.083,0.083,0.067,0.067,0.067,0.067,0.067,0.067,0,0,0,0,0,0
13103,港区,0.109,0.109,0.108,0.109,0.108,0.108,0.039,0.039,0.038,0.039,0.039,0.038,0.032,0.031,0.031,0.031,0.031,0.031,0,0,0,0,0,0
13104,新宿区,0.035,0.034,0.033,0.035,0.034,0.033,0.037,0.036,0.035,0.037,0.035,0.035,0.01,0.009,0.009,0.01,0.009,0.009,0,0,0,0,0,0
13105,文京区,0.052,0.05,0.049,0.051,0.05,0.049,0.04,0.038,0.037,0.039,0.038,0.037,0.014,0.014,0.013,0.014,0.014,0.013,0,0,0,0,0,0
13106,台東区,0.215,0.212,0.212,0.215,0.212,0.212,0.173,0.172,0.171,0.173,0.172,0.171,0.086,0.085,0.085,0.086,0.085,0.085,0,0,0,0,0,0
13107,墨田区,0.42,0.381,0.379,0.42,0.381,0.379,0.27,0.253,0.251,0.269,0.252,0.251,0.146,0.144,0.143,0.146,0.144,0.143,0,0,0,0,0,0
13108,江東区,0.386,0.365,0.357,0.386,0.365,0.357,0.133,0.132,0.131,0.133,0.132,0.131,0.108,0.107,0.106,0.108,0.107,0.106,0,0,0,0,0,0
13109,品川区,0.213,0.142,0.137,0.199,0.139,0.134,0.091,0.081,0.077,0.088,0.079,0.075,0.076,0.068,0.063,0.073,0.066,0.063,0.001,0,0,0.001,0,0
13110,目黒区,0.157,0.104,0.1,0.151,0.102,0.099,0.078,0.062,0.059,0.076,0.061,0.058,0.054,0.048,0.045,0.053,0.048,0.045,0.001,0.001,0,0.001,0.001,0
13111,大田区,0.246,0.157,0.154,0.232,0.155,0.152,0.074,0.066,0.064,0.071,0.065,0.063,0.121,0.113,0.11,0.119,0.112,0.109,0,0,0,0,0,0
13112,世田谷区,0.189,0.111,0.107,0.182,0.109,0.106,0.164,0.094,0.09,0.157,0.092,0.089,0.05,0.042,0.039,0.049,0.042,0.039,0.003,0.002,0.001,0.003,0.002,0.001
13113,渋谷区,0.109,0.104,0.102,0.108,0.103,0.102,0.075,0.073,0.072,0.074,0.073,0.072,0.024,0.023,0.022,0.024,0.023,0.022,0.001,0.001,0,0.001,0.001,0
13114,中野区,0.046,0.038,0.035,0.045,0.037,0.035,0.061,0.049,0.047,0.06,0.049,0.046,0.02,0.015,0.013,0.019,0.015,0.013,0.003,0.001,0.001,0.003,0.001,0.001
