市町村名,歳出合計（千円）,1人件費（千円）,うち職員給（千円）,2物件費（千円）,3維持補修費（千円）,4扶助費（千円）,5補助費等（千円）,補助費等の内訳・(1)国に対するもの（千円）,補助費等の内訳・(2)都道府県に対するもの（千円）,補助費等の内訳・(3)同級他団体に対するもの（千円）,補助費等の内訳・(4)一部事務組合対するもの（千円）,補助費等の内訳・(5)その他に対するもの（千円）,6普通建設事業費（千円）,普通建設事業費の内訳・(1)補助事業費（千円）,普通建設事業費の内訳・(2)単独事業費（千円）,普通建設事業費の内訳・(3)県営事業負担金（千円）,普通建設事業費の内訳・(4)同級他団体施行事業負担金（千円）,普通建設事業費の内訳・(5)受託事業費（千円）,普通建設事業費の内訳・(5)受託事業費・受託事業費の内訳・①補助事業費 （千円）,普通建設事業費の内訳・(5)受託事業費・受託事業費の内訳・②単独事業費（千円）,7災害復旧事業費（千円）,災害復旧事業費の内訳・(1)補助事業費（千円）,災害復旧事業費の内訳・(2)単独事業費（千円）,災害復旧事業費の内訳・(3)県営事業負担金（千円）,8失業対策事業費（千円）,失業対策事業費の内訳・(1)補助事業費（千円）,失業対策事業費の内訳・(2)単独事業費（千円）,9公債費（千円）,10積立金（千円）,11投資及び出資金（千円）,12貸付金（千円）,13繰出金（千円）,14前年度繰上充用金（千円）,区分
市町村計,1528697708 ,226539997 ,144465203 ,232152178 ,10757288 ,428822054 ,149269354 ,4649986 ,46544596 ,1476380 ,22690570 ,73907822 ,156936762 ,50213583 ,103925028 ,629973 ,118837 ,2049341 ,2484 ,2046857 ,929462 ,347228 ,572357 ,9877 ,0 ,0 ,0 ,94485544 ,56104258 ,197676 ,1750786 ,170752349 ,0 ,計
市計,1457789652 ,216261684 ,138095928 ,214299165 ,9778864 ,422540993 ,141702174 ,4601232 ,45563992 ,1458743 ,21557126 ,68521081 ,143730570 ,47755537 ,93180330 ,626525 ,118837 ,2049341 ,2484 ,2046857 ,270777 ,132606 ,138171 ,0 ,0 ,0 ,0 ,90264059 ,53018801 ,190676 ,1628746 ,164103143 ,0 ,市
町村計,70908056 ,10278313 ,6369275 ,17853013 ,978424 ,6281061 ,7567180 ,48754 ,980604 ,17637 ,1133444 ,5386741 ,13206192 ,2458046 ,10744698 ,3448 ,0 ,0 ,0 ,0 ,658685 ,214622 ,434186 ,9877 ,0 ,0 ,0 ,4221485 ,3085457 ,7000 ,122040 ,6649206 ,0 ,町
八王子市,192111777 ,27818669 ,18558671 ,21235018 ,2096505 ,64352997 ,16434709 ,1326461 ,6243172 ,14849 ,2247771 ,6602456 ,18880503 ,5284911 ,13572629 ,22963 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13202847 ,4246937 ,0 ,0 ,23843592 ,0 ,八
立川市,75983187 ,11081427 ,6726506 ,10603787 ,653654 ,23250914 ,6571459 ,359629 ,2020542 ,7503 ,690064 ,3493721 ,10297888 ,2921062 ,7376826 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4429426 ,1993308 ,0 ,62100 ,7039224 ,0 ,立
武蔵野市,61749819 ,8694317 ,5229695 ,13331247 ,527514 ,12857503 ,5985604 ,123548 ,1612825 ,11994 ,420656 ,3816581 ,8238467 ,2849401 ,5310055 ,0 ,0 ,79011 ,0 ,79011 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2407297 ,2991072 ,0 ,1243612 ,5473186 ,0 ,武
三鷹市,66130784 ,10057609 ,6448834 ,9782782 ,294169 ,17473592 ,6253912 ,129325 ,2054566 ,176997 ,495285 ,3397739 ,7920172 ,1811483 ,5990586 ,0 ,35285 ,82818 ,0 ,82818 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4207165 ,3139088 ,0 ,10000 ,6992295 ,0 ,三
青梅市,47454869 ,6750155 ,4633931 ,7175332 ,283141 ,16132327 ,5224741 ,52760 ,1443302 ,2863 ,961415 ,2764401 ,1764232 ,563877 ,1132140 ,14939 ,0 ,53276 ,0 ,53276 ,198042 ,84880 ,113162 ,0 ,0 ,0 ,0 ,3014481 ,1209671 ,38599 ,41000 ,5623148 ,0 ,青
府中市,92761007 ,10921905 ,7326754 ,16042192 ,969864 ,27056347 ,8725084 ,133642 ,2748154 ,276671 ,1796253 ,3770364 ,10529582 ,4580396 ,5949186 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4806846 ,4278493 ,0 ,52683 ,9378011 ,0 ,府
昭島市,43355215 ,5971965 ,3850157 ,5884319 ,183620 ,13722589 ,2967942 ,159747 ,1301269 ,6558 ,371087 ,1129281 ,4162768 ,1846480 ,2316288 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2545131 ,3427422 ,3000 ,6000 ,4480459 ,0 ,昭
