区市町村コード,区市町村,帰宅困難者数,滞留人口（屋内被災者：学校）,滞留人口（屋内被災者：業務）,滞留人口（屋内被災者：合計）,滞留人口（屋外被災者：私用）,滞留人口（屋外被災者：不明）,滞留人口（屋外被災者：合計）,滞留人口（待機人口：自宅）,滞留人口（待機人口：移動開始前）,滞留人口（待機人口：移動なし）,滞留人口（待機人口：合計）,滞留人口（滞留場所不明人口）,滞留人口（総計）
13101,千代田区,592100,79808,936950,1016758,53604,1922,55526,2204,6046,10219,18469,25142,1115895
13102,中央区,337098,13591,528690,542281,46308,2372,48680,6405,11020,25395,42820,14027,647808
13103,港区,531372,50753,851023,901776,48442,3850,52292,11342,27127,44267,82736,20988,1057792
13104,新宿区,359365,91640,557019,648659,65128,3339,68467,15903,41770,60520,118193,17976,853295
13105,文京区,139195,98552,188309,286861,27008,504,27512,12563,22048,36572,71183,10485,396041
13106,台東区,108428,19229,165526,184755,38253,1285,39538,10497,21442,51850,83789,7414,315496
13107,墨田区,61116,27200,122974,150174,18919,2198,21117,13598,23624,59939,97161,6140,274592
13108,江東区,237250,55745,371122,426867,41514,3690,45204,27969,45479,99732,173180,19150,664401
13109,品川区,233316,52654,372715,425369,24578,1225,25803,21376,36815,73573,131764,10490,593426
13110,目黒区,58466,39540,110645,150185,16282,324,16606,14334,29550,45979,89863,6770,263424
13111,大田区,123906,64453,248470,312923,33078,3605,36683,38358,64936,164058,267352,12525,629483
13112,世田谷区,116697,145686,207396,353082,53257,2017,55274,51242,98180,189255,338677,20981,768014
13113,渋谷区,237837,51698,403396,455094,40985,1648,42633,13863,23123,46581,83567,12200,593494
13114,中野区,56532,39949,106235,146184,14843,678,15521,22271,34412,65111,121794,5222,288721
13115,杉並区,51411,74545,113191,187736,28958,1062,30020,30679,54441,102387,187507,10692,415955
13116,豊島区,128014,64622,172227,236849,37712,1377,39089,22972,32571,53330,108873,11933,396744
13117,北区,53263,39193,116295,155488,21313,1925,23238,20061,29445,73435,122941,7097,308764
13118,荒川区,26696,20859,56648,77507,10782,188,10970,9824,19606,47334,76764,2903,168144
13119,板橋区,58247,69236,150726,219962,32331,1234,33565,38464,49735,122936,211135,11714,476376
13120,練馬区,43191,74319,116038,190357,41393,2038,43431,43743,65729,149238,258710,12501,504999
13121,足立区,44303,72074,152238,224312,30027,621,30648,38612,54421,165087,258120,12983,526063
13122,葛飾区,31738,50017,96103,146120,27834,1226,29060,24210,39796,98906,162912,6700,344792
13123,江戸川区,46192,76123,140617,216740,30321,818,31139,38555,57839,163421,259815,6981,514675
13201,八王子市,101663,122590,159090,281680,41616,2262,43878,32590,46689,134613,213892,14139,553589
13202,立川市,35643,25033,82507,107540,23866,523,24389,12569,19258,38902,70729,7060,209718
13203,武蔵野市,27284,33912,55834,89746,24772,412,25184,6854,13471,26805,47130,4199,166259
13204,三鷹市,18069,26229,46430,72659,12049,0,12049,11599,18266,36823,66688,3308,154704
13205,青梅市,10665,11769,35238,47007,10504,0,10504,8362,11083,39265,58710,1602,117823
13206,府中市,37289,33434,100901,134335,17141,1208,18349,16705,22309,54168,93182,4880,250746
13207,昭島市,8754,13168,35377,48545,8502,332,8834,7001,9656,26661,43318,2831,103528
13208,調布市,22648,32606,58572,91178,15577,0,15577,11258,22652,49344,83254,4650,194659
13209,町田市,42606,73312,80106,153418,28761,210,28971,24511,38879,97450,160840,11147,354376
13210,小金井市,19806,33799,22809,56608,6687,225,6912,7024,11762,23088,41874,1748,107142
13211,小平市,21347,33595,48696,82291,11469,277,11746,12653,16013,40534,69200,2719,165956
13212,日野市,18356,28112,49586,77698,6776,77,6853,10624,18081,40477,69182,3119,156852
13213,東村山市,8317,15198,28300,43498,11038,288,11326,6085,12752,33205,52042,3843,110709
13214,国分寺市,10696,15877,27507,43384,7246,121,7367,7613,11322,23686,42621,1920,95292
13215,国立市,11318,20426,14844,35270,6107,89,6196,4542,6747,13229,24518,2497,68481
13218,福生市,3755,3962,16596,20558,3480,0,3480,4851,4219,13761,22831,966,47835
13219,狛江市,3978,9409,11183,20592,4715,102,4817,4670,7498,14971,27139,984,53532
13220,東大和市,2972,9989,13109,23098,3302,93,3395,6391,7034,19195,32620,1405,60518
13221,清瀬市,5340,11643,14309,25952,3738,0,3738,3559,8237,18068,29864,1784,61338
13222,東久留米市,3520,12138,20896,33034,6716,184,6900,6621,8782,27907,43310,2376,85620
13223,武蔵村山市,3436,10367,18558,28925,3044,143,3187,3871,4299,18383,26553,946,59611
13224,多摩市,25021,21937,57857,79794,14275,390,14665,7721,15084,29110,51915,4315,150689
13225,稲城市,6673,11760,20977,32737,4466,168,4634,4410,9590,17180,31180,1611,70162
13227,羽村市,4160,6630,20038,26668,2028,238,2266,4491,4159,12301,20951,463,50348
13228,あきる野市,7987,13110,16839,29949,3579,226,3805,8149,4536,21684,34369,2003,70126
13229,西東京市,8504,21330,30696,52026,10853,170,11023,11976,18091,43756,73823,3886,140758
13303,瑞穂町,2405,2481,15957,18438,2517,0,2517,2431,1943,7994,12368,1110,34433
13305,日の出町,1778,1450,5099,6549,3457,147,3604,1769,1589,3040,6398,87,16638
13307,檜原村,669,0,1120,1120,214,0,214,0,0,749,749,105,2188
13308,奥多摩町,935,359,1407,1766,0,0,0,66,313,2496,2875,290,4931
,区部合計,3675733,1371486,6284553,7656039,782870,39146,822016,529045,889155,1949125,3367325,273014,12118394
,多摩合計,475594,655625,1110438,1766063,298495,7885,306380,250966,374314,928845,1554125,91993,3718561
,都合計,4151327,2027111,7394991,9422102,1081365,47031,1128396,780011,1263469,2877970,4921450,365007,15836955
