区市町村コード,区市町村,冬夕、風速8m/s、死者（計）,冬夕、風速8m/s、死者（揺れ）,冬夕、風速8m/s、死者（屋内収容物）,冬夕、風速8m/s、死者（急傾斜地崩壊）,冬夕、風速8m/s、死者（火災）,冬夕、風速8m/s、死者（ブロック塀等）,冬夕、風速8m/s、死者（屋外落下物）,冬昼、風速8m/s、死者（計）,冬昼、風速8m/s、死者（揺れ）,冬昼、風速8m/s、死者（屋内収容物）,冬昼、風速8m/s、死者（急傾斜地崩壊）,冬昼、風速8m/s、死者（火災）,冬昼、風速8m/s、死者（ブロック塀等）,冬昼、風速8m/s、死者（屋外落下物）,冬早朝、風速8m/s、死者（計）,冬早朝、風速8m/s、死者（揺れ）,冬早朝、風速8m/s、死者（屋内収容物）,冬早朝、風速8m/s、死者（急傾斜地崩壊）,冬早朝、風速8m/s、死者（火災）,冬早朝、風速8m/s、死者（ブロック塀等）,冬早朝、風速8m/s、死者（屋外落下物）,冬夕、風速4m/s、死者（計）,冬夕、風速4m/s、死者（揺れ）,冬夕、風速4m/s、死者（屋内収容物）,冬夕、風速4m/s、死者（急傾斜地崩壊）,冬夕、風速4m/s、死者（火災）,冬夕、風速4m/s、死者（ブロック塀等）,冬夕、風速4m/s、死者（屋外落下物）,冬昼、風速4m/s、死者（計）,冬昼、風速4m/s、死者（揺れ）,冬昼、風速4m/s、死者（屋内収容物）,冬昼、風速4m/s、死者（急傾斜地崩壊）,冬昼、風速4m/s、死者（火災）,冬昼、風速4m/s、死者（ブロック塀等）,冬昼、風速4m/s、死者（屋外落下物）,冬早朝、風速4m/s、死者（計）,冬早朝、風速4m/s、死者（揺れ）,冬早朝、風速4m/s、死者（屋内収容物）,冬早朝、風速4m/s、死者（急傾斜地崩壊）,冬早朝、風速4m/s、死者（火災）,冬早朝、風速4m/s、死者（ブロック塀等）,冬早朝、風速4m/s、死者（屋外落下物）
13101,千代田区,2787,2379,254,0,7,19,128,3501,3127,334,0,10,4,26,230,208,22,0,0,0,1,2787,2379,254,0,7,19,128,3501,3127,334,0,10,4,26,230,208,22,0,0,0,1
13102,中央区,2702,2287,308,0,13,22,73,3249,2829,385,0,17,4,13,924,813,108,0,1,0,1,2702,2287,308,0,13,22,73,3249,2829,385,0,17,4,13,924,813,108,0,1,0,1
13103,港区,5274,4530,484,1,19,155,84,6148,5493,590,1,21,29,16,1592,1431,158,0,2,1,0,5274,4530,484,1,19,155,84,6148,5493,590,1,21,29,16,1592,1431,158,0,2,1,0
13104,新宿区,1847,1479,212,0,13,135,8,2011,1711,257,0,12,28,2,1092,973,115,0,2,1,0,1847,1479,212,0,13,135,8,2011,1711,257,0,12,28,2,1092,973,115,0,2,1,0
13105,文京区,1073,707,99,0,8,254,6,1020,812,123,0,7,76,2,761,678,79,0,2,2,0,1073,707,99,0,8,254,6,1019,812,123,0,7,76,2,761,678,79,0,2,2,0
13106,台東区,1862,1614,81,0,15,142,10,1898,1752,96,0,12,36,3,1659,1586,67,0,4,2,0,1862,1614,81,0,15,142,10,1898,1752,96,0,12,36,3,1659,1586,67,0,4,2,0
13107,墨田区,3307,2483,194,0,368,256,6,2791,2478,207,0,26,78,2,3067,2823,214,0,17,13,0,3303,2483,194,0,364,256,6,2790,2478,207,0,26,78,2,3067,2823,214,0,17,13,0
13108,江東区,8091,7010,462,0,304,292,22,8328,7638,515,0,88,82,6,6834,6374,431,0,20,8,1,8085,7010,462,0,298,292,22,8326,7638,515,0,85,82,6,6834,6374,431,0,20,8,1
13109,品川区,4492,3007,319,0,675,482,10,3807,3220,364,0,142,79,2,3216,2878,270,0,61,6,0,4382,3007,319,0,564,482,10,3779,3220,364,0,115,79,2,3201,2878,270,0,47,6,0
13110,目黒区,2064,1285,149,0,381,248,1,1539,1240,157,0,58,84,0,1930,1712,176,0,34,7,0,2033,1285,149,0,350,248,1,1532,1240,157,0,51,84,0,1925,1712,176,0,29,7,0
