,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012
北海道,1.62,1.45,1.33,1.24,1.19,1.25
宮城県,1.8,1.59,1.46,1.37,1.28,1.29
東京都,1.41,1.22,1.13,1.06,1.04,1.11
愛知県,1.81,1.57,1.48,1.42,1.39,1.51
大阪府,1.65,1.44,1.35,1.3,1.25,1.32
福岡県,1.73,1.54,1.45,1.35,1.31,1.43
札幌市,1.48,1.32,1.18,1.08,1.01,1.08
仙台市,1.66,1.48,1.33,1.24,1.16,1.21
特別区部,1.34,1.15,1.07,1,0.99,1.07
名古屋市,1.71,1.48,1.37,1.28,1.25,1.35
大阪市,1.51,1.35,1.3,1.23,1.20,1.25
福岡市,1.65,1.44,1.31,1.18,1.13,1.24
