町村名（島名）,早朝、死者数（計）,早朝、死者数（揺れ）,早朝、死者数（屋内収容物）,早朝、死者数（急傾斜地崩壊）,早朝、死者数（屋外落下物）,早朝、死者数（火災）,早朝、死者数（津波）,昼、死者数（計）,昼、死者数（揺れ）,昼、死者数（屋内収容物）,昼、死者数（急傾斜地崩壊）,昼、死者数（屋外落下物）,昼、死者数（火災）,昼、死者数（津波）
大島町,3 ,0 ,0 ,0 ,0 ,0 ,3 ,5 ,0 ,0 ,0 ,0 ,0 ,5 
利島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,3 
新島村（新島）,815 ,0 ,0 ,0 ,0 ,0 ,815 ,465 ,0 ,0 ,0 ,0 ,0 ,465 
新島村（式根島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,0 ,0 ,0 ,9 
神津島村,126 ,0 ,0 ,1 ,0 ,0 ,125 ,185 ,0 ,0 ,1 ,0 ,0 ,184 
三宅村,3 ,0 ,0 ,0 ,0 ,0 ,3 ,7 ,0 ,0 ,0 ,0 ,0 ,7 
御蔵島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
八丈町,3 ,0 ,0 ,0 ,0 ,0 ,3 ,3 ,0 ,0 ,0 ,0 ,0 ,3 
青ヶ島村,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
小笠原村（父島）,3 ,0 ,0 ,0 ,0 ,0 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,1 
小笠原村（母島）,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
島しょ地域計,953 ,0 ,0 ,1 ,0 ,0 ,952 ,678 ,0 ,0 ,1 ,0 ,0 ,677 
