（２）議員数,,,,,,（H28.4.1現在） ,,
区市町村名,議員定数,現議員数,欠員内訳,,,任期,,
,条例定数,,死　亡,辞　職,その他,,,
,人,人,人,人,人,,,
総計,"1,682 ","1,674 ",4 ,2 ,2 ,,,
市町村計,780 ,774 ,3 ,1 ,2 ,,,
区計,902 ,900 ,1 ,1 ,0 ,,,
千代田区,25 ,25 ,0 ,0 ,0 ,H31.4.30,,
中央区,30 ,30 ,0 ,0 ,0 ,H31.4.30,,
港区,34 ,34 ,0 ,0 ,0 ,H31.4.30,,
新宿区,38 ,38 ,0 ,0 ,0 ,H31.4.30,,
文京区,34 ,34 ,0 ,0 ,0 ,H31.4.30,,
台東区,32 ,32 ,0 ,0 ,0 ,H31.4.30,,
墨田区,32 ,32 ,0 ,0 ,0 ,H31.4.30,,
江東区,44 ,44 ,0 ,0 ,0 ,H31.4.30,,
品川区,40 ,40 ,0 ,0 ,0 ,H31.4.30,,
目黒区,36 ,36 ,0 ,0 ,0 ,H31.4.30,,
大田区,50 ,50 ,0 ,0 ,0 ,H31.4.30,,
世田谷区,50 ,50 ,0 ,0 ,0 ,H31.4.30,,
渋谷区,34 ,34 ,0 ,0 ,0 ,H31.4.30,,
中野区,42 ,42 ,0 ,0 ,0 ,H31.4.30,,
杉並区,48 ,48 ,0 ,0 ,0 ,H31.4.30,,
豊島区,36 ,36 ,0 ,0 ,0 ,H31.4.30,,
北区,40 ,39 ,0 ,1 ,0 ,H31.4.30,,
荒川区,32 ,32 ,0 ,0 ,0 ,H31.4.30,,
板橋区,46 ,46 ,0 ,0 ,0 ,H31.4.30,,
練馬区,50 ,50 ,0 ,0 ,0 ,R1.5.29,,
足立区,45 ,45 ,0 ,0 ,0 ,R1.5.17,,
葛飾区,40 ,39 ,1 ,0 ,0 ,H29.11.12,,
江戸川区,44 ,44 ,0 ,0 ,0 ,R1.5.1,,
,,,,,,,,
市町村計,780 ,774 ,3 ,1 ,2 ,,,
