,渋滞延長、上り、20km/h以下,渋滞延長、上り、15km/h以下,渋滞延長、下り、20km/h以下,渋滞延長、下り、15km/h以下,渋滞割合、上り、20km/h以下,渋滞割合、上り、15km/h以下,渋滞割合、下り、20km/h以下,渋滞割合、下り、15km/h以下
高速道路,5.9,0,0,0,0.003,0,0,0
都道・国道,786.4,252.5,747,199.7,0.399,0.128,0.379,0.101
合計,792.3,252.5,747,199.7,0.402,0.128,0.379,0.101
