市区町村コード,市区町村名,焼失棟数（冬早朝、風速4m）,焼失率（冬早朝、風速4m）,焼失棟数（冬昼、風速4m）,焼失率（冬昼、風速4m）,焼失棟数（冬夕、風速4m）,焼失率（冬夕、風速4m）,焼失棟数（冬早朝、風速8m）,焼失率（冬早朝、風速8m）,焼失棟数（冬昼、風速8m）,焼失率（冬昼、風速8m）,焼失棟数（冬夕、風速8m）,焼失率（冬夕、風速8m）
13101,千代田区,0,0,0,0,0,0,0,0,0,0,0,0
13102,中央区,0,0,1,0,1,0,0,0,1,0,1,0
13103,港区,1,0,4,0,4,0,1,0,5,0,6,0
13104,新宿区,11,0,23,0,43,0.001,12,0,24,0,44,0.001
13105,文京区,12,0,27,0.001,47,0.001,13,0,31,0.001,53,0.001
13106,台東区,16,0,40,0.001,60,0.001,17,0,41,0.001,61,0.002
13107,墨田区,121,0.003,228,0.005,382,0.008,123,0.003,230,0.005,386,0.008
13108,江東区,56,0.001,77,0.001,162,0.003,57,0.001,79,0.001,165,0.003
13109,品川区,300,0.005,538,0.008,999,0.015,353,0.005,632,0.01,1179,0.018
13110,目黒区,221,0.004,379,0.007,776,0.014,235,0.004,407,0.007,824,0.015
13111,大田区,893,0.006,1366,0.009,2574,0.017,1049,0.007,1590,0.011,3020,0.02
13112,世田谷区,874,0.005,1325,0.007,2634,0.015,957,0.005,1451,0.008,2880,0.016
13113,渋谷区,9,0,26,0.001,38,0.001,11,0,29,0.001,44,0.001
13114,中野区,139,0.002,238,0.003,478,0.007,147,0.002,255,0.004,510,0.007
13115,杉並区,1195,0.01,1929,0.016,3761,0.031,1211,0.01,1957,0.016,3814,0.031
13116,豊島区,75,0.001,148,0.003,281,0.005,87,0.002,170,0.003,324,0.006
13117,北区,48,0.001,78,0.001,159,0.002,49,0.001,81,0.001,166,0.002
13118,荒川区,56,0.001,99,0.002,173,0.004,58,0.001,104,0.002,181,0.004
13119,板橋区,96,0.001,159,0.002,320,0.003,105,0.001,174,0.002,350,0.003
13120,練馬区,748,0.005,1194,0.008,2150,0.014,770,0.005,1229,0.008,2210,0.015
13121,足立区,447,0.003,690,0.004,1212,0.007,466,0.003,720,0.004,1264,0.008
13122,葛飾区,262,0.002,406,0.004,668,0.006,298,0.003,462,0.004,761,0.007
13123,江戸川区,475,0.004,627,0.005,1154,0.009,577,0.004,778,0.006,1417,0.01
13201,八王子市,510,0.003,662,0.004,1007,0.006,551,0.003,713,0.004,1087,0.006
13202,立川市,116,0.003,130,0.003,156,0.004,121,0.003,135,0.003,162,0.004
13203,武蔵野市,136,0.005,225,0.008,405,0.015,137,0.005,228,0.008,409,0.015
13204,三鷹市,158,0.004,217,0.006,420,0.011,165,0.004,228,0.006,440,0.011
13205,青梅市,85,0.002,97,0.002,121,0.003,87,0.002,100,0.002,124,0.003
13206,府中市,190,0.003,231,0.004,340,0.006,208,0.004,254,0.004,372,0.007
13207,昭島市,126,0.004,141,0.005,163,0.006,130,0.005,145,0.005,168,0.006
13208,調布市,104,0.002,153,0.003,279,0.006,120,0.003,176,0.004,325,0.007
13209,町田市,471,0.004,578,0.005,1073,0.009,510,0.004,625,0.005,1161,0.01
13210,小金井市,175,0.006,229,0.008,391,0.014,176,0.006,230,0.008,393,0.014
13211,小平市,176,0.004,209,0.004,297,0.006,195,0.004,233,0.005,330,0.007
13212,日野市,105,0.002,123,0.003,170,0.004,120,0.003,141,0.003,195,0.004
13213,東村山市,31,0.001,38,0.001,53,0.001,35,0.001,42,0.001,59,0.001
13214,国分寺市,181,0.006,217,0.007,317,0.01,208,0.007,249,0.008,360,0.011
13215,国立市,68,0.004,80,0.005,107,0.006,91,0.005,108,0.006,146,0.009
13218,福生市,32,0.002,36,0.002,45,0.003,33,0.002,38,0.002,47,0.003
13219,狛江市,123,0.007,195,0.011,389,0.022,126,0.007,200,0.011,398,0.022
13220,東大和市,47,0.002,55,0.003,72,0.003,54,0.003,63,0.003,83,0.004
13221,清瀬市,5,0,7,0,11,0.001,6,0,9,0,15,0.001
13222,東久留米市,35,0.001,48,0.002,78,0.003,37,0.001,50,0.002,81,0.003
13223,武蔵村山市,96,0.004,104,0.004,123,0.005,100,0.004,108,0.004,129,0.005
13224,多摩市,20,0.001,26,0.001,42,0.002,20,0.001,27,0.001,43,0.002
13225,稲城市,17,0.001,23,0.001,37,0.002,18,0.001,25,0.001,39,0.002
13227,羽村市,84,0.005,92,0.005,108,0.006,94,0.006,103,0.006,120,0.007
13228,あきる野市,239,0.006,278,0.007,375,0.01,251,0.006,293,0.007,397,0.01
13229,西東京市,157,0.004,223,0.005,400,0.009,166,0.004,236,0.005,422,0.01
13303,瑞穂町,19,0.001,22,0.001,25,0.001,20,0.001,23,0.001,26,0.002
13305,日の出町,13,0.001,18,0.002,25,0.002,13,0.001,20,0.002,28,0.003
13307,檜原村,0,0,0,0,0,0,0,0,0,0,0,0
13308,奥多摩町,0,0,0,0,1,0,0,0,0,0,1,0
