番号,項目,回答数（人）,回答数（％）
1,自治体が実施するキャッシュレス関連キャンペーン,267,12
2,国が実施するキャッシュレス関連キャンペーン（キャッシュレス・ポイント還元事業）,237,10.6
3,民間事業者が実施するキャッシュレス関連キャンペーン,673,30.2
4,キャンペーンがきっかけではなく自発的に始めた,1026,46.1
5,その他,15,1
全体,,2226,100
