番号,項目,回答数（人）,回答数（％）
1,還元上限額や購入限度額が魅力的でなかったから,3316,13.4
2,還元率やプレミアム率が魅力的でなかったから,2955,11.9
3,応募したが落選したから,519,2.1
4,実施期間が短かったから,2579,10.4
5,紙媒体（プレミアム付商品券）での開催がなかったから（デジタル（プレミアム付商品券・ポイント等還元）のみでの開催だったから）,1129,4.6
6,QR・バーコード決済以外のキャッシュレス決済での開催がなかったから（ QR・バーコード決済のみでの開催だったから）,1472,5.9
7,申請手続き等が複雑だったから,8314,33.6
8,実施店舗数が少なかったから,7866,31.8
9,その他,3001,12.1
全体,,24760,
