区名,地方特例交付金
区市町村計,7171003 
区計,4402030 
市町村計,2768973 
市計,2725480 
町村計,43493 
千代田区,10728 
中央区,63539 
港区,49882 
新宿区,79080 
文京区,50264 
台東区,94926 
墨田区,159521 
江東区,321995 
品川区,148399 
目黒区,68590 
大田区,351417 
世田谷区,296402 
渋谷区,41463 
中野区,101700 
杉並区,174182 
豊島区,93828 
北区,158473 
荒川区,145008 
板橋区,343514 
練馬区,337563 
足立区,540565 
葛飾区,337783 
江戸川区,433208 
