,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
単身世帯(20歳未満),32117,32550,32008,29414,25661,23908,22427,20727,19286,17959,16908,15842,14754,13716,12744,11842,11009,10228,9491
単身世帯(20～24),207788,153381,144080,135611,132897,129766,119606,109811,101444,94615,84950,79588,74573,69372,64494,59797,55217,51170,47409
単身世帯(25～29),316644,242346,195059,187364,178187,177168,173254,155571,142491,132045,123396,111250,103897,96881,89803,83371,77310,71394,66064
単身世帯(30～34),263272,222162,174005,142296,136604,131923,131744,126227,113248,103817,96615,90581,82028,76583,71300,66032,61327,56943,52647
単身世帯(35～39),231764,206778,173196,136117,112704,110792,108188,105734,101360,90926,83417,77843,73141,66480,62066,57741,53455,49666,46159
単身世帯(40～44),182164,214871,191949,160653,128004,112342,111969,107108,104568,100232,89869,82460,77062,72489,66006,61610,57278,53003,49250
単身世帯(45～49),150331,203217,248190,229363,200156,169669,151737,148313,141865,138392,132622,118855,109044,101986,95989,87547,81691,75902,70209
単身世帯(50～54),112916,160186,212636,255944,235601,212885,183696,161508,158041,151262,147565,141473,126811,116398,108970,102644,93681,87433,81236
単身世帯(55～59),121103,129030,184548,244593,297680,266891,245296,207784,183273,179593,172100,168014,161240,144634,132878,124544,117434,107234,100141
単身世帯(60～64),145444,129890,139034,194827,255502,289089,264005,238257,202420,179099,175862,168798,165008,158568,142398,130973,122915,116027,106060
単身世帯(65～69),117283,152440,135721,134831,191637,231179,255883,229486,207616,176839,156893,154351,148409,145288,139817,125712,115766,108779,102796
単身世帯(70～74),104843,122508,147224,121201,129975,163557,191788,212492,191187,173488,148256,131838,129976,125168,122712,118233,106425,98103,92274
単身世帯(75～79),99823,110362,121063,145144,117961,114747,128111,151100,166935,150874,137476,118040,105199,103984,100270,98443,94931,85534,78899
単身世帯(80～84),77610,99848,106149,120359,131501,107980,92176,116506,138383,153069,139092,127328,109898,98272,97461,94198,92685,89534,80808
単身世帯(85歳以上),60409,80063,101851,124874,139334,161982,145229,149692,171079,203119,238236,257036,266154,264292,258079,255903,254545,254760,254696
核家族世帯(20歳未満),352,417,477,469,429,402,353,326,303,282,266,249,232,215,200,186,173,161,149
核家族世帯(20～24),7523,6961,7534,8037,8347,8201,7089,6511,6016,5612,5019,4705,4410,4104,3816,3539,3269,3030,2808
核家族世帯(25～29),60497,48237,41548,41809,41419,41444,38018,34145,31294,29011,27118,24341,22750,21226,19686,18283,16959,15666,14502
核家族世帯(30～34),151520,137136,115484,102653,103019,100167,93839,89960,80743,74076,68965,64680,58331,54504,50781,47060,43727,40616,37564
核家族世帯(35～39),218614,194546,178574,151530,134697,133052,121932,119214,114381,102664,94275,88024,82745,74897,69991,65169,60377,56129,52189
核家族世帯(40～44),226636,247260,219926,199502,167586,147733,137894,131989,128898,123660,110930,101872,95261,89653,81353,75999,70706,65472,60868
核家族世帯(45～49),209632,240834,265907,237577,213809,181279,151887,148243,141886,138440,132788,119058,109330,102329,96372,87592,81802,76057,70398
核家族世帯(50～54),177204,217232,249287,273890,243749,220908,177929,156386,152838,146360,142795,137011,122855,112856,105731,99655,90684,84698,78737
核家族世帯(55～59),174447,171460,212204,244504,268222,241194,207397,175013,154377,151118,144880,141442,135835,121879,112048,105093,99149,90311,84389
核家族世帯(60～64),210339,164436,160002,193501,218610,248185,212013,190883,161565,143011,140293,134745,131736,126706,113830,104785,98422,92972,84765
核家族世帯(65～69),181010,192339,149047,142250,172764,205205,219728,196621,177526,150695,133798,131535,126580,123959,119418,107431,99029,93144,88094
核家族世帯(70～74),157191,167695,180279,140665,135677,168635,188202,211431,189816,171906,146359,130311,128397,123811,121460,117205,105592,97468,91801
核家族世帯(75～79),130866,137982,148642,159296,121740,118799,151990,178058,201011,181241,164796,140801,125784,124286,120139,118113,114199,103066,95293
核家族世帯(80～84),79933,102157,110323,118887,128064,106636,100139,134623,158843,180620,163856,149744,128578,115398,114467,111028,109490,106159,96048
核家族世帯(85歳以上),50482,63548,82440,96332,108838,130148,128795,133784,159755,193624,232085,250361,257317,252041,243134,239143,236503,235738,234848
その他世帯(20歳未満),775,794,796,730,656,610,545,504,469,437,411,385,359,334,310,288,268,249,231
その他世帯(20～24),12396,9569,9121,8461,8295,8082,7092,6510,6014,5609,5044,4724,4426,4117,3827,3548,3276,3035,2812
その他世帯(25～29),23976,19014,16061,15292,14664,14557,13553,12170,11147,10330,9653,8702,8127,7578,7025,6522,6048,5585,5168
その他世帯(30～34),20085,18748,15914,13640,13504,13026,12386,11869,10650,9765,9089,8522,7708,7198,6703,6209,5767,5356,4952
その他世帯(35～39),17805,18106,17850,15385,13964,13703,12745,12458,11949,10722,9842,9187,8635,7830,7314,6807,6305,5860,5448
その他世帯(40～44),18554,22610,23217,22479,20115,17619,16702,15984,15608,14969,13426,12327,11524,10844,9851,9200,8558,7923,7364
その他世帯(45～49),20422,23160,27163,25251,23853,20127,17126,16724,16003,15613,14971,13421,12320,11528,10854,9878,9222,8572,7933
その他世帯(50～54),21808,25323,29877,34051,31919,28764,23569,20719,20260,19397,18924,18150,16272,14943,13995,13187,12016,11219,10427
その他世帯(55～59),26152,25072,31193,36727,43279,38693,33807,28572,25202,24681,23657,23096,22174,19894,18284,17145,16171,14744,13774
その他世帯(60～64),33066,28362,28796,35721,43633,49237,42734,38505,32632,28880,28340,27214,26605,25581,22979,21147,19857,18753,17113
その他世帯(65～69),24522,31333,27486,27347,35608,42089,45592,40826,36884,31343,27822,27358,26320,25773,24820,22325,20572,19344,18290
その他世帯(70～74),17543,19559,24649,20897,21560,26646,30250,33800,30370,27526,23469,20886,20584,19838,19457,18764,16899,15591,14676
その他世帯(75～79),14466,14002,15200,17204,13899,13506,17069,20070,22392,20216,18403,15766,14066,13901,13419,13183,12728,11477,10598
その他世帯(80～84),11116,12404,12759,13482,15429,12716,12063,15675,18562,20794,18881,17270,14871,13320,13211,12790,12597,12190,11014
その他世帯(85歳以上),9422,11408,14339,16309,18792,22099,22070,22840,26709,32061,38045,41043,42329,41726,40481,39968,39635,39583,39499
