番号,項目,回答数（人）,回答数（％）
1,公務員,71,2.4
2,経営者・役員,161,5.4
3,会社員(事務系),694,23.3
4,会社員(技術系),335,11.2
5,会社員(その他),279,9.4
6,自営業,101,3.4
7,自由業,53,1.8
8,専業主婦(主夫),468,15.7
9,パート・アルバイト,256,8.6
10,学生,106,3.6
11,その他,51,1.7
12,無職,405,13.6
全体,,2980,100
