番号,項目,回答数（人）,回答数（％）
1,51%以上減少した,11,21.6
2,41-50%程度減少した,4,7.8
3,31-40%程度減少した,6,11.8
4,21-30%程度減少した,13,25.5
5,11-20%程度減少した,5,9.8
6,1-10%程度減少した,3,5.9
7,変わらない,6,11.8
8,1-10%程度増加した,0,0
9,11-20%程度増加した,1,2
10,21-30%程度増加した,0,0
11,31-40%程度増加した,0,0
12,41-50%程度増加した,0,0
13,51%以上増加した,2,3.9
全体,,51,100
