番号,項目,回答数（人）,満足_回答数（人）,満足_回答数（％）,普通_回答数（人）,普通_回答数（％）,不満_回答数（人）,不満_回答数（％）
1,小売業(最寄り品)（n=349）,349,218,62.5,111,31.8,20,5.7
2,小売業(買回り品)（n=230）,230,142,61.7,61,26.5,27,11.7
3,宿泊業（n=7）,7,3,42.9,4,57.1,0,0
4,飲食業(居酒屋・BAR)（n=177）,177,118,66.7,45,25.4,14,7.9
5,飲食業(居酒屋・BAR以外)（n=261）,261,179,68.6,64,24.5,18,6.9
6,娯楽サービス業（n=53）,53,24,45.3,21,39.6,8,15.1
7,生活関連サービス業（n=364）,364,200,54.9,124,34.1,40,11
8,その他（n=104）,104,50,48.1,35,33.7,19,18.3
全体,,1545,,,,,,
