番号,項目,回答数（人）,回答数（％）
1,支払手続を簡単・迅速に行えるから,1981,71.8
2,割引やポイント等の特典が得られるから,2022,73.3
3,現金を持ち歩く必要がなくなるから,1485,53.8
4,現金に触れる必要がなく衛生的に支払ができるから,662,24
5,人との接触回数を減らすことができるから,381,13.8
6,支払履歴が分かり、お金の管理をしやすいから,885,32.1
7,持ち歩いている金額以上の買物ができるから,456,16.5
8,現金の紛失・盗難のおそれがなくなるから,435,15.8
9,定期的に公共団体や民間企業のキャンペーンが実施されるから,729,26.4
10,利用できる店舗や場所が増えているから,1094,39.6
11,その他,17,0.6
全体,,2760,
