市区町村コード,市区町村名,揺れによる全壊棟数(木造),揺れによる全壊棟数(非木造),揺れによる全壊棟数(合計),揺れによる大規模半壊棟数(木造),揺れによる大規模半壊棟数(非木造),揺れによる大規模半壊棟数(合計),揺れによる半壊棟数(木造),揺れによる半壊棟数(非木造),揺れによる半壊棟数(合計),液状化による全壊棟数(木造),液状化による全壊棟数(非木造),液状化による全壊棟数(合計),液状化による大規模半壊棟数(木造),液状化による大規模半壊棟数(非木造),液状化による大規模半壊棟数(合計),液状化による半壊棟数(木造),液状化による半壊棟数(非木造),液状化による半壊棟数(合計),急傾斜地崩壊による全壊棟数(木造),急傾斜地崩壊による全壊棟数(非木造),急傾斜地崩壊による全壊棟数(合計),急傾斜地崩壊による大規模半壊棟数(木造),急傾斜地崩壊による大規模半壊棟数(非木造),急傾斜地崩壊による大規模半壊棟数(合計),急傾斜地崩壊による半壊棟数(木造),急傾斜地崩壊による半壊棟数(非木造),急傾斜地崩壊による半壊棟数(合計),建物全壊棟数(木造),建物全壊棟数(非木造),建物全壊棟数(合計),建物大規模半壊棟数(木造),建物大規模半壊棟数(非木造),建物大規模半壊棟数(合計),建物半壊棟数(木造),建物半壊棟数(非木造),建物半壊棟数(合計)
13101,千代田区,63,83,146,61,35,96,239,345,584,4,0,4,3,3,6,9,9,18,0,0,0,0,0,0,0,0,0,67,83,150,65,38,102,248,354,602
13102,中央区,522,178,700,218,65,283,733,585,1318,14,0,14,12,5,17,34,14,49,0,0,0,0,0,0,0,0,0,536,178,714,230,70,300,767,599,1366
13103,港区,427,342,769,227,120,347,815,1033,1847,7,0,7,7,7,14,20,20,40,2,4,6,1,2,3,5,8,12,436,346,782,236,128,364,840,1060,1900
13104,新宿区,376,139,515,540,61,601,2406,642,3047,12,0,12,16,7,23,44,20,64,2,1,3,1,0,1,4,2,6,389,141,530,556,69,625,2453,664,3117
13105,文京区,355,89,444,445,39,484,1925,405,2331,23,1,23,33,13,46,92,38,130,0,0,0,0,0,0,0,0,1,378,90,468,477,53,530,2018,443,2461
13106,台東区,1940,346,2286,947,122,1069,3315,1089,4404,43,1,44,39,16,56,110,46,156,0,0,0,0,0,0,0,0,0,1983,347,2330,986,138,1125,3425,1135,4560
13107,墨田区,4692,671,5363,1752,213,1964,5828,1715,7543,34,0,34,39,11,49,109,30,139,0,0,0,0,0,0,0,0,0,4726,672,5398,1791,223,2014,5937,1744,7682
13108,江東区,5415,1159,6574,1498,326,1824,5126,2464,7589,26,1,27,37,23,59,103,64,167,0,0,0,0,0,0,0,0,0,5440,1160,6600,1535,349,1884,5228,2528,7756
13109,品川区,2465,404,2868,1286,145,1431,4674,1241,5915,22,0,22,33,10,43,92,28,121,1,1,1,0,0,1,1,1,3,2487,405,2892,1319,155,1475,4767,1270,6038
13110,目黒区,1531,290,1821,911,109,1019,3554,955,4508,6,0,6,10,4,14,29,11,40,0,1,1,0,0,0,1,1,2,1537,291,1827,921,113,1034,3584,967,4551
13111,大田区,6981,1321,8302,2830,425,3255,10586,3422,14008,228,5,233,348,107,455,977,300,1277,2,1,3,1,0,1,5,2,6,7212,1326,8538,3179,532,3711,11567,3724,15291
13112,世田谷区,5541,898,6439,3449,330,3779,14052,2840,16892,14,0,14,34,10,44,95,27,123,6,4,10,3,2,5,12,10,21,5561,903,6464,3485,342,3827,14159,2877,17036
13113,渋谷区,983,318,1301,616,116,732,2318,1024,3342,11,0,11,17,10,27,49,27,76,0,0,0,0,0,0,0,0,0,994,318,1312,633,126,759,2367,1051,3418
13114,中野区,569,90,658,771,40,811,3493,422,3914,7,0,7,11,3,14,30,9,39,0,0,0,0,0,0,0,0,0,575,90,665,782,43,825,3522,430,3953
13115,杉並区,2267,269,2536,2105,109,2214,8953,1043,9996,7,0,8,15,3,18,42,9,50,0,0,0,0,0,0,0,0,0,2275,269,2544,2120,112,2232,8995,1051,10046
13116,豊島区,676,118,794,777,51,828,3314,518,3831,21,0,22,29,8,37,81,24,105,0,0,0,0,0,0,0,0,0,697,119,816,806,59,865,3395,541,3936
13117,北区,2876,302,3178,1700,108,1808,6442,947,7388,41,1,41,57,16,73,159,45,204,2,1,3,1,0,1,4,2,6,2919,304,3222,1758,124,1882,6605,994,7599
13118,荒川区,4947,427,5374,1662,129,1792,5813,1032,6845,14,0,14,18,4,22,51,12,63,0,0,0,0,0,0,0,0,0,4960,428,5388,1680,134,1814,5864,1044,6908
13119,板橋区,1394,298,1692,1428,115,1543,6018,1083,7100,63,1,64,109,30,138,305,83,388,3,1,4,1,0,2,7,2,9,1460,300,1760,1538,145,1683,6329,1168,7497
13120,練馬区,1249,154,1403,1798,68,1866,8425,714,9139,32,1,33,67,15,82,189,41,230,0,0,0,0,0,0,0,0,0,1281,155,1436,1865,83,1948,8615,755,9370
13121,足立区,10624,1224,11848,4908,384,5292,18564,3050,21614,102,2,104,168,44,212,472,124,596,0,0,0,0,0,0,0,0,0,10726,1225,11952,5076,428,5505,19036,3173,22210
13122,葛飾区,3542,576,4119,1988,195,2183,7529,1626,9155,462,8,470,835,200,1035,2343,562,2905,0,0,0,0,0,0,0,0,0,4004,585,4589,2823,395,3218,9872,2188,12060
13123,江戸川区,5284,1086,6370,2339,331,2670,9310,2562,11872,280,5,286,581,129,711,1632,363,1995,0,0,0,0,0,0,0,0,0,5565,1091,6656,2920,460,3381,10942,2925,13867
13201,八王子市,359,56,415,574,28,602,3763,326,4090,8,0,8,22,5,28,62,15,77,24,7,32,10,3,14,56,17,73,391,64,454,607,36,643,3881,359,4240
13202,立川市,29,12,41,75,7,82,446,87,533,0,0,0,1,0,2,3,1,4,0,0,0,0,0,0,0,0,0,29,12,41,77,7,84,450,88,537
13203,武蔵野市,198,51,249,264,22,286,1250,220,1470,1,0,1,4,1,4,10,2,12,0,0,0,0,0,0,0,0,0,200,51,251,268,22,290,1260,222,1482
13204,三鷹市,453,75,528,468,31,499,2058,293,2351,4,0,4,10,2,13,29,6,35,4,1,5,2,0,2,10,2,12,461,76,538,481,33,514,2097,301,2398
13205,青梅市,9,2,11,20,2,22,117,24,141,2,0,2,4,1,4,11,2,13,5,1,6,2,0,3,11,2,14,16,3,19,26,3,29,139,28,167
13206,府中市,404,111,515,501,45,546,2320,441,2761,2,0,2,5,1,6,14,3,17,1,0,2,1,0,1,3,0,3,407,112,519,506,46,553,2338,444,2782
13207,昭島市,10,4,14,30,3,32,180,36,216,1,0,1,2,0,2,4,1,5,0,0,0,0,0,0,0,0,0,11,4,14,31,3,34,185,37,221
13208,調布市,515,90,605,487,36,523,2144,333,2477,6,0,7,18,3,20,49,7,57,0,0,1,0,0,0,1,0,1,522,90,612,505,38,543,2195,340,2535
13209,町田市,743,150,894,823,60,883,5049,588,5637,1,0,1,3,1,4,10,2,11,10,2,12,4,1,5,22,5,27,754,153,907,831,62,892,5081,595,5676
13210,小金井市,178,33,211,244,15,259,1208,151,1360,1,0,1,2,1,3,6,2,7,0,0,0,0,0,0,0,0,1,179,33,212,246,15,262,1215,153,1368
13211,小平市,257,29,286,396,13,409,1963,143,2106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,29,286,396,13,409,1963,143,2106
13212,日野市,155,47,203,249,21,270,1335,223,1558,2,0,2,6,1,7,16,4,20,3,1,4,1,0,2,7,2,9,160,48,209,256,23,279,1358,229,1587
13213,東村山市,46,9,56,102,5,107,586,57,643,1,0,1,4,0,5,11,1,13,0,0,0,0,0,0,0,0,0,48,9,57,106,5,111,598,59,656
13214,国分寺市,169,26,195,255,12,266,1296,127,1423,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169,26,195,255,12,267,1297,127,1424
13215,国立市,52,12,64,89,6,95,463,64,527,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,52,12,64,90,6,95,464,64,529
13218,福生市,0,0,0,0,0,1,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,8
13219,狛江市,108,15,124,154,7,161,752,70,822,1,0,2,4,1,5,11,2,13,0,0,0,0,0,0,0,0,0,110,15,125,158,7,165,763,72,835
13220,東大和市,18,4,22,42,2,44,249,25,274,1,0,1,3,0,3,8,1,9,0,0,0,0,0,0,0,0,0,19,4,23,44,2,47,257,26,283
13221,清瀬市,55,8,62,95,4,98,508,41,549,2,0,2,7,1,8,20,2,22,0,0,0,0,0,0,0,0,0,57,8,64,102,4,106,527,44,571
13222,東久留米市,63,13,76,125,6,131,678,76,754,8,0,8,22,3,26,63,10,72,0,0,0,0,0,0,0,0,0,71,13,84,147,10,157,741,85,826
13223,武蔵村山市,6,1,7,15,1,16,94,15,109,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1,7,15,1,16,95,15,110
13224,多摩市,96,18,115,132,9,141,959,97,1057,2,0,2,7,3,10,21,7,28,3,2,4,1,1,2,6,4,10,101,20,121,141,12,153,986,109,1095
13225,稲城市,120,22,142,136,9,145,821,92,913,3,0,3,9,2,11,24,6,31,2,3,5,1,1,2,4,7,11,124,25,149,145,13,158,849,106,955
