番号,項目,回答数（人）,回答数（％）
1,実施時期・期間が適切でない,87,19.2
2,広告周知がされていない/参加店舗が不十分,60,13.2
3,アプリが利用しにくい,54,11.9
4,還元率・還元上限額が低い,43,9.5
5,手数料が高い,32,7
6,紙の商品券が使いにくい,32,7
7,手続きが面倒である,31,6.8
8,対象店舗選定や還元額の設定方式が適切でない,31,6.8
9,対象の決済手段や商品券の実施方式が適切でない,28,6.2
10,その他,56,12.3
全体,,454,100
