番号,項目,回答数（人）,回答数（％）
1,たいへん換金しやすかった,12,3.7
2,換金しやすかった,41,12.7
3,普通,159,49.2
4,やや換金しにくかった,65,20.1
5,換金しにくかった,46,14.2
全体,,323,100
