,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
総人口,13159388,13311646,13346611,13260489,13068489,12784631,12473743,12140353,11747722,11290685,10786917,10275084,9773530,9294559,8838040,8395170,7963317,7540803,7128349
世帯数,6380756,6490000,6590000,6628000,6618000,6548000,6275399,6133177,5945032,5725449,5477236,5225940,4979644,4741923,4514289,4291735,4074631,3861625,3651999
