,都心南部、大被害、1kmあたり箇所数,都心南部、中小被害、1kmあたり箇所数,多摩東部、大被害、1kmあたり箇所数,多摩東部、中小被害、1kmあたり箇所数,大正関東、大被害、1kmあたり箇所数,大正関東、中小被害、1kmあたり箇所数,立川断層、大被害、1kmあたり箇所数,立川断層、中小被害、1kmあたり箇所数
区部,0,5,0,3,0,2,0,0
多摩,0,0,0,0,0,0,0,0
東京都,0,5,0,3,0,2,0,0
