番号,項目,回答数（人）,回答数（％）
1,1-10%程度増加した,416,27.1
2,11-20%程度増加した,322,21
3,21-30%程度増加した,232,15.1
4,31-40%程度増加した,96,6.3
5,41-50%程度増加した,80,5.2
6,51%以上増加した,160,10.4
7,変わらない,222,14.5
8,減少した,5,0.3
全体,,1533,100
