,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年
自治研推計,1946006,1724524,1560442,1437611,1369385,1329271,1268826,1197885,1114438
地方創生シナリオ(1),1952797,1760194,1507381,1264829,1093039,988400,923406,861810,779615
地方創生シナリオ(2),1952797,1760194,1507381,1264829,1093039,1025987,1032722,1087454,1160243
地方創生シナリオ(3),1952797,1760194,1586462,1430065,1333952,1328970,1359759,1448754,1587975
