番号,項目,回答数（人）,日常生活に必要なもの_回答数（人）,日常生活に必要なもの_回答数（%）,それ以外_回答数（人）,それ以外_回答数（%）
1,専業主婦・パート(n=724),724,590,81.5,134,18.5
2,"それ以外(n=2,256)",2256,1691,75,565,25
全体,,2980,,,,
