番号,項目,回答数（人）,回答数（％）
1,使いやすかった,594,26.9
2,やや使いやすかった,738,33.4
3,普通,608,27.5
4,やや使いにくかった,196,8.9
5,使いにくかった,73,3.3
全体,,2209,100
