X（m）,Y（m）,経度（度）,緯度（度）,浸水深（最大）（m）
11905,79455,142.11965775,26.71716609,0.2179
11915,79455,142.11975826,26.71716600,0.5893
11925,79455,142.11985877,26.71716592,1.2077
12235,79455,142.12297459,26.71716325,2.0399
12245,79455,142.12307510,26.71716317,2.0309
12305,79455,142.12367816,26.71716264,1.9540
11895,79445,142.11955715,26.71707591,0.0121
12235,79445,142.12297449,26.71707299,1.2324
12245,79445,142.12307500,26.71707290,1.8885
12285,79445,142.12347704,26.71707255,1.9430
12295,79445,142.12357755,26.71707247,1.9648
11895,79435,142.11955705,26.71698565,0.7552
11925,79435,142.11985858,26.71698539,1.4324
11945,79435,142.12005960,26.71698522,2.2292
12275,79435,142.12337644,26.71698238,0.1063
12285,79435,142.12347695,26.71698229,2.0067
12295,79435,142.12357746,26.71698220,2.0062
12305,79435,142.12367797,26.71698212,1.9926
11895,79425,142.11955696,26.71689539,1.2164
11905,79425,142.11965747,26.71689530,0.3947
11915,79425,142.11975798,26.71689522,0.6350
11925,79425,142.11985849,26.71689513,1.3366
11945,79425,142.12005951,26.71689496,2.2058
12285,79425,142.12347685,26.71689203,2.0748
12295,79425,142.12357736,26.71689194,2.0570
11895,79415,142.11955686,26.71680512,1.5048
11905,79415,142.11965737,26.71680504,1.4324
12285,79415,142.12347675,26.71680177,2.1211
12295,79415,142.12357726,26.71680168,2.0967
12275,79405,142.12337615,26.71671159,1.6116
12285,79405,142.12347665,26.71671151,2.1658
12125,79395,142.12186840,26.71662263,3.0749
12275,79395,142.12337605,26.71662133,1.4994
12285,79395,142.12347656,26.71662124,2.1705
12105,79385,142.12166728,26.71653254,0.0049
12115,79385,142.12176779,26.71653246,0.0760
12235,79385,142.12297391,26.71653142,3.4111
12265,79385,142.12327544,26.71653116,1.4846
12275,79385,142.12337595,26.71653107,2.2202
12225,79375,142.12287330,26.71644124,3.2600
12235,79375,142.12297381,26.71644116,3.3020
12265,79375,142.12327534,26.71644089,1.4823
12225,79365,142.12287321,26.71635098,3.1510
12235,79365,142.12297372,26.71635089,3.1540
12245,79365,142.12307423,26.71635081,0.0002
12255,79365,142.12317474,26.71635072,1.1089
12225,79355,142.12287311,26.71626072,3.0283
12235,79355,142.12297362,26.71626063,2.7239
12245,79355,142.12307413,26.71626054,2.5845
12205,79345,142.12267200,26.71617063,2.7225
12225,79345,142.12287301,26.71617046,2.7364
12075,79335,142.12136528,26.71608149,0.8424
12195,79335,142.12257139,26.71608045,3.0052
11925,79325,142.11985754,26.71599251,1.7131
11925,79315,142.11985745,26.71590225,1.7305
12165,79315,142.12226967,26.71590019,1.3013
12115,79295,142.12176693,26.71572010,2.9989
12035,79275,142.12096267,26.71554026,2.6065
12205,79265,142.12267122,26.71544853,1.9887
12215,79265,142.12277173,26.71544844,1.6208
