区分,歳入総額(A),歳出総額(B),差引額(A)-(B)=©,翌年度に繰り越すべき財源(D),実質収支(C)-(D)=€,単年度収支(Ｆ),財政調整基金積立額(G),繰上償還額(H),財政調整基金取崩し額(I),実質単年度収支(F)+(G)+(H)-(I)=(J),実質収支比率(%),区分
区計,3577931053,3442340455,135590598,17020736,118569862,605965,53231629,0,39831009,14006585,5.7,計
千代田区,79638320,76723669,2914651,1929624,985027,△958109,1220466,0,767555,△505198,3.3,千
中央区,82299667,79330014,2969653,942527,2027126,333090,1538672,0,1349900,521862,4.7,中
港区,160447216,149211903,11235313,84075,11151238,3549112,127153,0,4430098,△753833,14.8,港
新宿区,139013123,134995930,4017193,171888,3845305,580978,1987426,0,1000000,1568404,4.8,新
文京区,82137666,77412279,4725387,113455,4611932,1745336,3861398,0,0,5606734,9.1,文
台東区,96842478,92370499,4471979,125038,4346941,117659,92140,0,0,209799,8.6,台
墨田区,109495042,106572629,2922413,213870,2708543,△356781,1936360,0,420000,1159579,4.3,墨
江東区,181168822,172601639,8567183,4274235,4292948,202105,4571474,0,4500000,273579,3.9,江
品川区,143752556,139771086,3981470,253000,3728470,545777,954182,0,0,1499959,4.3,品
目黒区,92199858,88913809,3286049,5900,3280149,△479608,4160376,0,42573,3638195,5.4,目
大田区,251467086,239607142,11859944,1204630,10655314,△3953629,58847,0,2256327,△6151109,7,大
世田谷区,265943370,254881756,11061614,1197687,9863927,3733522,66783,0,0,3800305,5.8,世
渋谷区,91892062,86453320,5438742,1924149,3514593,△4489131,66134,0,0,△4422997,6.3,渋
中野区,132377128,127429576,4947552,541437,4406115,2582876,2409773,0,0,4992649,6.2,中
杉並区,172912473,166223451,6689022,161398,6527624,△889536,5926602,0,1650000,3387066,5.9,杉
豊島区,132057929,129283983,2773946,800085,1973861,△681649,1993582,0,11335093,△10023160,3.1,豊
北区,131431519,126374088,5057431,207312,4850119,△590952,87826,0,2000000,△2503126,6.1,北
荒川区,90632356,87393152,3239204,209247,3029957,663591,1181928,0,0,1845519,5.6,荒
板橋区,197573583,192684598,4888985,184425,4704560,△579884,5362399,0,0,4782515,4,板
練馬区,249988640,245526804,4461836,48365,4413471,103024,1073884,0,7587799,△6410891,2.9,練
足立区,272069308,265566300,6503008,813836,5689172,△1953569,105999,0,2202664,△4050234,3.7,足
葛飾区,177309502,168819561,8489941,249058,8240883,827786,102469,0,289000,641255,7.6,葛
江戸川区,245281349,234193267,11088082,1365495,9722587,553957,14345756,0,0,14899713,6.5,江
