番号,項目,回答数（人）,回答数（％）
1,電話,2446 ,82.1 
2,メール,2575 ,86.4 
3,インターネット検索,2589 ,86.9 
4,写真・動画撮影,2358 ,79.1 
5,メッセンジャーアプリ,2335 ,78.4 
6,生活関連アプリ,2312 ,77.6 
7,趣味・娯楽アプリ,1727 ,58.0 
8,ショッピングアプリ,1870 ,62.8 
9,スマホ決済,2169 ,72.8 
10, その他,31 ,1.0 
11, スマートフォンを保有していない,53 ,1.8 
全体,,2980 ,
