,都営住宅等東京都の応急仮設住宅入居人数,民間賃貸住宅東京都の応急仮設住宅入居人数,合計
千代田区,65,,
中央区,,3,
港区,51,,
新宿区,375,17,
文京区,5,1,
台東区,2,3,
墨田区,5,2,
江東区,1188,1,
品川区,,1,
目黒区,18,1,
大田区,31,46,
世田谷区,7,5,
渋谷区,4,9,
中野区,355,9,
杉並区,15,24,
豊島区,7,9,
北区,18,20,
荒川区,65,16,
板橋区,140,75,
練馬区,239,71,
足立区,96,72,
葛飾区,108,23,
江戸川区,531,60,
八王子市,20,33,
立川市,162,9,
武蔵野市,110,4,
三鷹市,21,7,
青梅市,2,10,
府中市,3,18,
昭島市,,7,
調布市,11,11,
町田市,72,41,
小金井市,,1,
小平市,2,3,
日野市,4,7,
東村山市,17,8,
国分寺市,,4,
国立市,64,7,
福生市,,14,
狛江市,,1,
東大和市,75,3,
清瀬市,14,4,
東久留米市,,,
武蔵村山市,19,5,
多摩市,4,13,
稲城市,3,12,
羽村市,,4,
あきる野市,,11,
西東京市,132,19,
瑞穂町,,3,
日の出町,,2,
檜原村,,,
奥多摩町,,3,
大島町,,,
利島村,,,
新島村,,,
神津島村,,,
三宅村,,,
御蔵島村,,,
八丈町,,,
青ヶ島村,,,
小笠原村,,4,
小計,4060,736,
合計,,,4796
