番号,項目,回答数（人）,回答数（％）
1,増加した(5%以上),515,30.6
2,ほぼ変わらない（±5%未満）,514,55.4
3,少し減少した（5-20%未満）,215,10.8
4,かなり減少した（20%以上）,39,3.2
全体,,1283,100
