,総合効果（生産誘発効果）（百万円）,粗付加価値誘発効果（百万円）,雇用者所得誘発効果（百万円）
直接効果,"67,273","34,795","18,610"
一次波及効果,"23,666","13,289","6,987"
二次波及効果,"10,487","6,508","2,274"
総合効果,"101,426","54,592","27,871"
