,2010年,2015年,2020年,2025年,2030年,2035年,2040年,2045年,2050年,2055年,2060年,2065年,2070年,2075年,2080年,2085年,2090年,2095年,2100年
0～4,168285,163255,153234,142626,131227,123048,119491,115947,111655,106414,101189,95977,90676,85929,81519,77252,72950,68724,64657
5～9,174261,168532,163053,152266,141539,130116,125678,121863,117958,113295,107789,102427,97152,91783,86925,82385,78003,73623,69344
10～14,181060,174186,168165,162441,151276,140030,132251,127664,123652,119497,114582,108882,103403,98055,92616,87668,83032,78564,74121
15～19,206476,201893,191950,183227,175252,160672,152433,143504,137877,132789,127461,121392,114730,108554,102678,96753,91309,86193,81306
20～24,265361,246448,237670,222610,209384,196997,184781,172905,162267,155010,148181,140856,132801,124508,117189,110476,103774,97506,91574
25～29,262968,244919,229778,223442,210438,198136,193765,181196,169774,160222,153630,147214,140027,132007,123821,116710,110250,103751,97570
30～34,289709,257142,238706,224999,219462,206314,200779,195972,182518,170872,161637,155169,148723,141360,133114,124777,117626,111187,104690
35～39,345809,288435,255698,236694,223506,217493,210662,204612,199308,185004,172982,163768,157236,150637,143038,134532,125997,118739,112245
40～44,323915,344748,287815,254849,235379,221695,221919,214603,208090,202347,187339,174958,165678,159038,152277,144464,135731,127018,119652
45～49,281690,318563,340165,284259,251656,231437,223935,224030,216463,209706,203726,188333,175771,166480,159795,152955,145032,136182,127382
50～54,233939,273694,309559,331533,277472,245009,231059,223626,223737,216154,209368,203337,187851,175294,166087,159444,152617,144690,135830
55～59,247583,224570,262535,297332,319412,266981,241885,228124,220944,221190,213790,207148,201228,185897,173513,164484,157964,151234,143399
60～64,294720,234978,213527,249621,283193,304105,260931,236637,223285,216467,216905,209790,203394,197673,182659,170562,161784,155444,148872
65～69,256250,284223,231276,213171,255175,291940,297027,255130,231538,218540,212010,212563,205690,199503,193948,179242,167418,158867,152691
70～74,215142,242097,269724,219744,205247,241912,280715,286378,246308,223761,211326,205164,205863,199336,193452,188145,173929,162520,154292
75～79,172667,193915,220205,244808,198011,179503,225340,262093,268347,231316,210541,199056,193518,194444,188499,183126,178248,164890,154186
80～84,113324,145653,166774,189667,211377,170612,159872,200544,234132,241005,208491,190279,180250,175615,176836,171750,167136,162899,150863
85～89,59713,79495,106099,131095,156359,181083,190239,195891,220830,256123,287797,298995,302073,302626,303498,307138,309639,311348,312462
90歳以上,34257,45130,59917,74037,88528,102532,107711,110866,124013,143065,160363,166673,168593,169038,169589,171635,173080,174106,174776


